<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JFLI.US,D,20250214,000000,49.65,50.35,49.32,49.5289,88595,0
JFLI.US,D,20250218,000000,49.7501,50.02,49.5501,49.7042,30623,0
JFLI.US,D,20250219,000000,49.71,49.885,49.6,49.8,21448,0
JFLI.US,D,20250220,000000,49.73,49.7609,49.7015,49.7609,7012,0
JFLI.US,D,20250221,000000,49.76,49.88,49.4,49.46,18441,0
JFLI.US,D,20250224,000000,49.51,49.51,49.22,49.3,31846,0
JFLI.US,D,20250225,000000,49.31,49.59,49.0219,49.234,27830,0
JFLI.US,D,20250226,000000,49.25,49.52,49.2301,49.2981,11017,0
JFLI.US,D,20250227,000000,49.42,49.51,48.7523,48.79,30040,0
JFLI.US,D,20250228,000000,49,49.2211,48.66,49.2211,17569,0
JFLI.US,D,20250303,000000,49.37,49.45,48.7006,48.7252,13795,0
JFLI.US,D,20250304,000000,48.62,48.81,48.19,48.4555,9519,0
JFLI.US,D,20250305,000000,48.65,48.93,48.3001,48.8394,18707,0
JFLI.US,D,20250306,000000,48.5,48.71,48.23,48.33,41390,0
JFLI.US,D,20250307,000000,48.465,48.66,48.1219,48.6169,20069,0
JFLI.US,D,20250310,000000,48.15,48.3,47.56,47.83,36312,0
JFLI.US,D,20250311,000000,47.85,47.93,47.3,47.61,8934,0
JFLI.US,D,20250312,000000,47.755,47.755,47.42,47.585,4729,0
JFLI.US,D,20250313,000000,47.52,47.61,47.15,47.1596,17419,0
JFLI.US,D,20250314,000000,47.47,47.89,47.44,47.75,9564,0
JFLI.US,D,20250317,000000,48.0099,48.14,47.965,48.1398,7281,0
JFLI.US,D,20250318,000000,48,48,47.77,47.9077,4869,0
JFLI.US,D,20250319,000000,47.83,48.2456,47.83,48.2456,4080,0
JFLI.US,D,20250320,000000,48.11,48.33,48.0999,48.1096,5673,0
JFLI.US,D,20250321,000000,48.1,48.19,47.8337,48.0015,5166,0
JFLI.US,D,20250324,000000,48.39,48.505,48.3695,48.4759,4276,0
JFLI.US,D,20250325,000000,48.525,48.63,48.52,48.5503,3201,0
JFLI.US,D,20250326,000000,48.51,48.51,48.084,48.2,4434,0
JFLI.US,D,20250327,000000,48.0106,48.23,47.99,48.12,5323,0
JFLI.US,D,20250328,000000,48.0001,48.0001,47.58,47.6111,10747,0
JFLI.US,D,20250331,000000,47.25,47.6573,47.2,47.6573,3513,0
JFLI.US,D,20250401,000000,47.5,47.82,47.31,47.7442,3430,0
JFLI.US,D,20250402,000000,48.05,48.06,47.85,47.9749,3863,0
JFLI.US,D,20250403,000000,47.13,47.13,46.6143,46.6143,9633,0
JFLI.US,D,20250404,000000,45.235,45.54,44.1,44.37,12071,0
