<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JOBY.US,D,20201111,000000,10.951,11,10.5,10.99,29173,0
JOBY.US,D,20201112,000000,11.4,11.45,10.52,10.62,13403,0
JOBY.US,D,20201113,000000,10.9,10.9,10.62,10.71,3246,0
JOBY.US,D,20201116,000000,10.9,11.25,10.66,10.7,26534,0
JOBY.US,D,20201117,000000,10.75,11.14,10.58,10.6,198245,0
JOBY.US,D,20201118,000000,10.74,10.96,10.6,10.62,47725,0
JOBY.US,D,20201119,000000,10.81,10.97,10.61,10.65,456714,0
JOBY.US,D,20201120,000000,10.61,10.95,10.6,10.75,295021,0
JOBY.US,D,20201123,000000,11.19,11.2875,10.65,10.75,176468,0
JOBY.US,D,20201124,000000,11.38,11.38,10.87,10.89,130991,0
JOBY.US,D,20201125,000000,11.24,11.24,10.8741,10.93,95207,0
JOBY.US,D,20201127,000000,11.09,11.38,11,11.25,87511,0
JOBY.US,D,20201130,000000,12,12,11.01,11.25,216173,0
JOBY.US,D,20201201,000000,11.42,11.42,10.9,11,103840,0
JOBY.US,D,20201202,000000,11.26,11.26,10.82,11.02,75619,0
JOBY.US,D,20201203,000000,11.22,11.22,10.98,11,128683,0
JOBY.US,D,20201204,000000,11.2,11.2,10.71,11.0885,191169,0
JOBY.US,D,20201207,000000,11.2,11.28,11,11.07,204387,0
JOBY.US,D,20201208,000000,11.2,11.46,11.05,11.11,260394,0
JOBY.US,D,20201209,000000,11.39,11.48,11.2,11.29,1011105,0
JOBY.US,D,20201210,000000,11.35,11.39,11.14,11.21,596705,0
JOBY.US,D,20201211,000000,11.3,11.38,11.12,11.22,830510,0
JOBY.US,D,20201214,000000,11.24,11.39,10.99,11.15,654443,0
JOBY.US,D,20201215,000000,11.23,11.23,11.06,11.18,335118,0
JOBY.US,D,20201216,000000,11.24,11.26,11.0601,11.11,244835,0
JOBY.US,D,20201217,000000,11.06,11.18,11.06,11.12,283068,0
JOBY.US,D,20201218,000000,11.22,11.35,11.08,11.3,152680,0
JOBY.US,D,20201221,000000,11.39,11.55,11.25,11.3,807141,0
JOBY.US,D,20201222,000000,11.55,11.7,11.39,11.56,444048,0
JOBY.US,D,20201223,000000,11.65,11.77,11.6,11.7,398693,0
JOBY.US,D,20201224,000000,11.88,11.98,11.63,11.75,295640,0
JOBY.US,D,20201228,000000,12.14,12.27,11.73,11.84,678221,0
JOBY.US,D,20201229,000000,11.9,11.9,11.31,11.53,625193,0
JOBY.US,D,20201230,000000,11.3,11.53,11.22,11.36,361234,0
JOBY.US,D,20201231,000000,11.44,11.56,11.3,11.56,319816,0
JOBY.US,D,20210104,000000,11.75,11.88,11.4,11.59,361133,0
JOBY.US,D,20210105,000000,11.78,11.88,11.37,11.47,216267,0
JOBY.US,D,20210106,000000,11.63,11.7,11.11,11.17,597096,0
JOBY.US,D,20210107,000000,11.3,11.5,11.21,11.47,900636,0
JOBY.US,D,20210108,000000,11.52,11.8999,11.5,11.75,731684,0
JOBY.US,D,20210111,000000,11.75,11.83,11.6,11.79,391598,0
JOBY.US,D,20210112,000000,11.66,11.99,11.62,11.97,909461,0
JOBY.US,D,20210113,000000,12.13,12.58,12.09,12.17,965698,0
JOBY.US,D,20210114,000000,12.5,12.63,12.02,12.22,882705,0
JOBY.US,D,20210115,000000,12.35,12.3999,11.85,11.9,668051,0
JOBY.US,D,20210119,000000,12.12,12.25,12.02,12.1,1080005,0
JOBY.US,D,20210120,000000,12.24,13.66,12.23,13.52,1514754,0
JOBY.US,D,20210121,000000,13.3,13.9,12.9,13.71,1281958,0
JOBY.US,D,20210122,000000,13.7,13.99,13.5,13.95,1062500,0
JOBY.US,D,20210125,000000,13.91,14.1801,13.1,13.45,1026369,0
JOBY.US,D,20210126,000000,13.44,13.815,12.55,12.74,1200643,0
JOBY.US,D,20210127,000000,12.25,12.51,11.58,12.12,1380475,0
JOBY.US,D,20210128,000000,12.21,12.42,11.83,12.19,799201,0
JOBY.US,D,20210129,000000,12.03,12.35,11.8,12.26,483884,0
JOBY.US,D,20210201,000000,12.4,12.93,12.23,12.78,1499177,0
JOBY.US,D,20210202,000000,13,13.06,12.67,12.81,1012985,0
JOBY.US,D,20210203,000000,12.96,13.1399,12.81,13.02,561438,0
JOBY.US,D,20210204,000000,13.03,13.39,12.6,12.73,814117,0
JOBY.US,D,20210205,000000,12.75,13.2,12.75,13.02,2500357,0
JOBY.US,D,20210208,000000,14.27,14.4,13.3,13.94,6329922,0
JOBY.US,D,20210209,000000,13.9,14.08,13.4,13.69,1783254,0
JOBY.US,D,20210210,000000,13.7,13.8,13.08,13.43,1047373,0
JOBY.US,D,20210211,000000,13.85,13.98,13.52,13.64,2440516,0
JOBY.US,D,20210212,000000,14.86,15.49,14,14.49,5636191,0
JOBY.US,D,20210216,000000,15.78,17,15,15.7,4004581,0
JOBY.US,D,20210217,000000,16.1,16.15,15.07,15.33,1897896,0
JOBY.US,D,20210218,000000,15.1,15.2999,14.65,14.93,1863769,0
JOBY.US,D,20210219,000000,15.02,15.5,14.71,15.12,1554311,0
JOBY.US,D,20210222,000000,15.26,15.71,14.5101,14.63,1535485,0
