<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KEY_J.US,D,20180802,000000,24.7,24.7,24.61,24.67,372925,0
KEY_J.US,D,20180803,000000,24.63,24.7,24.63,24.66,220645,0
KEY_J.US,D,20180806,000000,24.68,24.69,24.63,24.63,316149,0
KEY_J.US,D,20180807,000000,24.65,24.65,24.5499,24.57,399352,0
KEY_J.US,D,20180808,000000,24.58,24.6,24.53,24.57,340944,0
KEY_J.US,D,20180809,000000,24.6,24.7,24.55,24.69,387270,0
KEY_J.US,D,20180810,000000,24.65,24.71,24.61,24.7,203097,0
KEY_J.US,D,20180813,000000,24.71,24.74,24.67,24.71,109585,0
KEY_J.US,D,20180814,000000,24.74,24.82,24.73,24.78,260840,0
KEY_J.US,D,20180815,000000,24.78,24.79,24.75,24.76,158733,0
KEY_J.US,D,20180816,000000,24.81,24.82,24.78,24.79,150182,0
KEY_J.US,D,20180817,000000,24.81,24.86,24.8,24.85,229772,0
KEY_J.US,D,20180820,000000,24.88,24.98,24.85,24.92,397123,0
KEY_J.US,D,20180821,000000,24.95,24.95,24.87,24.88,189696,0
KEY_J.US,D,20180822,000000,24.91,24.94,24.89,24.91,274686,0
KEY_J.US,D,20180823,000000,24.92,24.92,24.87,24.9,92811,0
KEY_J.US,D,20180824,000000,24.8992,24.92,24.881,24.91,54290,0
KEY_J.US,D,20180827,000000,24.91,24.95,24.87,24.94,188659,0
KEY_J.US,D,20180828,000000,24.97,24.98,24.93,24.98,201265,0
KEY_J.US,D,20180829,000000,24.99,25.05,24.963,25,273818,0
KEY_J.US,D,20180830,000000,25,25.03,24.97,25.01,206159,0
KEY_J.US,D,20180831,000000,25.03,25.13,24.97,25.08,387607,0
KEY_J.US,D,20180904,000000,25.05,25.05,24.96,24.96,134526,0
KEY_J.US,D,20180905,000000,24.95,24.97,24.89,24.93,137913,0
KEY_J.US,D,20180906,000000,24.96,24.96,24.9,24.94,83175,0
KEY_J.US,D,20180907,000000,24.86,24.9,24.8,24.84,156721,0
KEY_J.US,D,20180910,000000,24.84,24.94,24.8201,24.935,86990,0
KEY_J.US,D,20180911,000000,24.94,24.94,24.85,24.88,139021,0
KEY_J.US,D,20180912,000000,24.9,24.9,24.86,24.89,110111,0
KEY_J.US,D,20180913,000000,24.9,24.92,24.87,24.88,106066,0
KEY_J.US,D,20180914,000000,24.88,24.89,24.79,24.84,113208,0
KEY_J.US,D,20180917,000000,24.79,24.83,24.59,24.63,291175,0
KEY_J.US,D,20180918,000000,24.61,24.69,24.55,24.57,249793,0
KEY_J.US,D,20180919,000000,24.55,24.585,24.35,24.45,265723,0
KEY_J.US,D,20180920,000000,24.42,24.52,24.36,24.44,259519,0
KEY_J.US,D,20180921,000000,24.48,24.49,24.411,24.47,78625,0
KEY_J.US,D,20180924,000000,24.46,24.6,24.4101,24.58,129511,0
KEY_J.US,D,20180925,000000,24.5,24.58,24.46,24.5,147315,0
KEY_J.US,D,20180926,000000,24.53,24.69,24.52,24.61,184824,0
KEY_J.US,D,20180927,000000,24.65,24.7,24.65,24.69,89413,0
KEY_J.US,D,20180928,000000,24.68,24.78,24.68,24.71,146656,0
KEY_J.US,D,20181001,000000,24.73,24.75,24.57,24.66,170408,0
KEY_J.US,D,20181002,000000,24.53,24.67,24.53,24.58,122293,0
KEY_J.US,D,20181003,000000,24.58,24.59,23.96,24.28,571356,0
KEY_J.US,D,20181004,000000,24.11,24.22,23.9,23.91,263192,0
KEY_J.US,D,20181005,000000,23.81,24.07,23.73,23.86,257151,0
KEY_J.US,D,20181008,000000,23.88,24.03,23.7,23.75,195812,0
KEY_J.US,D,20181009,000000,23.82,23.94,23.78,23.89,298147,0
KEY_J.US,D,20181010,000000,23.82,23.91,23.65,23.65,271915,0
