<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LCII.US,D,20050225,000000,13.6279,13.6678,13.5201,13.5726,107557.21494786,0
LCII.US,D,20050228,000000,13.5783,13.6911,13.5424,13.6911,99362.046230909,0
LCII.US,D,20050301,000000,13.6911,13.7222,13.488,13.6745,296035.8025857,0
LCII.US,D,20050302,000000,13.6211,13.6813,13.5726,13.6376,30732.397331149,0
LCII.US,D,20050303,000000,13.6376,13.9719,13.6279,13.965,79899.292492056,0
LCII.US,D,20050304,000000,14.035,14.0661,13.8844,13.9329,59412.399984882,0
LCII.US,D,20050307,000000,13.8844,13.9883,13.8795,13.9329,35084.215132613,0
LCII.US,D,20050308,000000,13.9719,13.9943,13.8844,13.9719,29706.19999244,0
LCII.US,D,20050309,000000,13.9719,14.207,13.9407,14.1826,41741.631769289,0
LCII.US,D,20050310,000000,14.1429,14.1506,14.0174,14.1429,160310.13972567,0
LCII.US,D,20050311,000000,14.1429,14.2157,14.0894,14.2157,42257.303651628,0
LCII.US,D,20050314,000000,14.1826,14.4334,14.1253,14.4334,62741.10830322,0
LCII.US,D,20050315,000000,14.4334,14.4712,14.2915,14.3469,47373.880352451,0
LCII.US,D,20050316,000000,14.3469,14.4167,14.2526,14.2915,105506.87884083,0
LCII.US,D,20050317,000000,14.2526,14.2604,14.0748,14.0815,116009.70496337,0
LCII.US,D,20050318,000000,14.0815,14.0815,13.7766,13.8543,502702.88889187,0
LCII.US,D,20050321,000000,13.8008,13.8008,13.5201,13.6745,99874.630257666,0
LCII.US,D,20050322,000000,13.6813,13.761,13.6609,13.7144,67349.218118062,0
LCII.US,D,20050323,000000,13.7446,13.9943,13.7366,13.9155,110114.98865567,0
LCII.US,D,20050324,000000,13.965,14.1506,13.9242,14.0174,46863.354896082,0
LCII.US,D,20050328,000000,14.0505,14.307,14.0505,14.3002,119084.17983873,0
LCII.US,D,20050329,000000,14.2671,14.2671,13.8008,13.8077,61459.648236327,0
LCII.US,D,20050330,000000,13.8708,13.8844,13.7046,13.7843,239443.64403318,0
LCII.US,D,20050331,000000,13.8241,13.8844,13.6911,13.761,41230.077027726,0
LCII.US,D,20050401,000000,13.7766,13.8164,13.6911,13.7697,86814.030427305,0
LCII.US,D,20050404,000000,13.7366,13.8543,13.7008,13.7843,62229.553561657,0
LCII.US,D,20050405,000000,13.832,14.3469,13.8077,14.307,55062.640753807,0
LCII.US,D,20050406,000000,14.5422,14.6344,14.1429,14.1429,96801.184667513,0
LCII.US,D,20050407,000000,14.2157,14.3225,14.1429,14.2604,61205.414793337,0
LCII.US,D,20050408,000000,14.2604,14.2915,14.0661,14.0661,44047.230604502,0
LCII.US,D,20050411,000000,14.0661,14.307,14.0661,14.239,48657.398989732,0
LCII.US,D,20050412,000000,14.1992,14.2758,14.0505,14.2526,53520.771532759,0
LCII.US,D,20050413,000000,14.1992,14.239,14.035,14.0748,50706.705811566,0
LCII.US,D,20050414,000000,14.1029,14.1342,13.6911,13.8164,46096.537426335,0
LCII.US,D,20050415,000000,13.8241,13.965,13.7766,13.7766,379264.83268129,0
LCII.US,D,20050418,000000,13.7766,13.7843,13.5638,13.6124,72472.999815244,0
LCII.US,D,20050419,000000,13.6124,13.965,13.594,13.7446,243797.52040503,0
LCII.US,D,20050420,000000,13.8008,14.1029,13.7008,13.8008,75801.708133582,0
LCII.US,D,20050421,000000,13.7766,14.0748,13.7766,13.9816,157238.75270591,0
