<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LDOS.US,D,20061012,000000,21.7774,21.7774,21.7774,21.7774,0,0
LDOS.US,D,20061013,000000,24.6824,26.6993,24.5341,26.3957,34815161.185791,0
LDOS.US,D,20061016,000000,27.2939,27.4254,26.2503,26.2898,6311200.973185,0
LDOS.US,D,20061017,000000,26.2344,26.2503,25.641,26.089,2964906.8370158,0
LDOS.US,D,20061018,000000,26.4817,26.4817,25.5381,25.6538,2524775.5900717,0
LDOS.US,D,20061019,000000,25.6538,25.8258,24.9861,25.0702,2520917.7604682,0
LDOS.US,D,20061020,000000,25.262,25.9852,25.0445,25.9149,2452033.8674673,0
LDOS.US,D,20061023,000000,26.279,26.279,25.6251,25.8258,1962094.5626344,0
LDOS.US,D,20061024,000000,25.8418,26.2503,25.724,25.9852,1497438.3973595,0
LDOS.US,D,20061025,000000,26.1038,26.265,25.5657,26.2344,2066309.5428949,0
LDOS.US,D,20061026,000000,26.4659,28.9368,26.2344,28.0356,8044003.3709752,0
LDOS.US,D,20061027,000000,28.457,29.1792,28.1376,29.1376,6617166.4904365,0
LDOS.US,D,20061030,000000,29.4283,30.6321,29.2128,29.5164,3298420.0478902,0
LDOS.US,D,20061031,000000,30.2553,30.4611,28.7152,29.0368,2248770.9318686,0
LDOS.US,D,20061101,000000,29.3255,29.6588,28.6737,28.6737,1453420.1167607,0
LDOS.US,D,20061102,000000,28.6737,29.6154,28.3126,28.3266,1397559.4315563,0
LDOS.US,D,20061103,000000,28.5144,28.9893,28.457,28.8171,1339082.3776377,0
LDOS.US,D,20061106,000000,28.8894,29.4283,28.7014,29.0218,1432902.6503554,0
LDOS.US,D,20061107,000000,29.0368,29.2533,28.6885,28.9754,1203113.0923863,0
LDOS.US,D,20061108,000000,28.3266,28.4857,27.2939,27.8438,2639385.2778749,0
LDOS.US,D,20061109,000000,27.9922,29.3255,27.7321,29.3255,1691190.2058854,0
LDOS.US,D,20061110,000000,29.0368,29.196,28.3266,29.0218,1302232.8260007,0
LDOS.US,D,20061113,000000,28.9754,28.9754,28.6302,28.8616,566117.2860386,0
LDOS.US,D,20061114,000000,28.9199,29.1208,28.6025,28.9536,884477.19294911,0
LDOS.US,D,20061115,000000,28.9536,29.2128,28.8171,29.0665,1007154.3546086,0
LDOS.US,D,20061116,000000,28.9754,29.1545,28.8171,29.1545,636100.09433806,0
LDOS.US,D,20061117,000000,29.0368,29.0368,28.5144,28.7014,826481.35676921,0
LDOS.US,D,20061120,000000,28.8171,28.8765,28.0625,28.3126,726264.72977962,0
LDOS.US,D,20061121,000000,28.1633,28.2375,27.5837,27.9625,2709917.0383428,0
LDOS.US,D,20061122,000000,27.4956,28.28,27.2939,28.0625,2499561.195905,0
LDOS.US,D,20061124,000000,27.6143,27.8744,27.556,27.8299,240733.21768024,0
LDOS.US,D,20061127,000000,27.5837,27.7321,26.7854,27.4412,1405759.3413869,0
LDOS.US,D,20061128,000000,27.0029,27.4956,26.2503,27.4412,1331779.1907782,0
LDOS.US,D,20061129,000000,27.8012,27.8596,27.4412,27.644,780057.99843811,0
LDOS.US,D,20061130,000000,27.5837,27.6865,27.2355,27.5401,419549.07899406,0
LDOS.US,D,20061201,000000,27.4818,27.5104,27.1622,27.3246,631968.29413121,0
LDOS.US,D,20061204,000000,27.0336,27.2939,26.9585,27.2355,522380.05277469,0
LDOS.US,D,20061205,000000,27.2799,27.6865,27.1198,27.556,629418.64888489,0
LDOS.US,D,20061206,000000,27.556,27.7458,27.1929,27.7321,988973.22054444,0
LDOS.US,D,20061207,000000,27.8744,27.9486,27.4412,27.8903,620812.33247652,0
LDOS.US,D,20061208,000000,27.6737,28.2375,27.6588,28.0911,928076.93543049,0
LDOS.US,D,20061211,000000,28.0911,28.3126,27.4541,27.5253,851071.98760645,0
LDOS.US,D,20061212,000000,27.5837,28.7775,27.2216,28.6302,1619559.530119,0
LDOS.US,D,20061213,000000,27.7321,27.7321,26.3047,26.4817,3897603.8671234,0
LDOS.US,D,20061214,000000,26.1612,26.6251,25.6251,26.0752,2782307.9572596,0
LDOS.US,D,20061215,000000,26.4659,27.366,26.1325,27.1485,6512947.4663295,0
LDOS.US,D,20061218,000000,27.0029,27.0782,26.3205,26.3957,1308016.5375209,0
LDOS.US,D,20061219,000000,26.1762,26.3343,25.7854,25.9852,1556397.6799785,0
LDOS.US,D,20061220,000000,25.9852,26.3799,25.8418,26.0613,728535.34961438,0
LDOS.US,D,20061221,000000,25.9852,26.1762,25.7694,25.9149,798586.90330511,0
LDOS.US,D,20061222,000000,25.9852,26.0455,25.8131,25.9149,914848.50242173,0
LDOS.US,D,20061226,000000,25.9149,26.0455,25.6251,25.6538,548412.31490504,0
LDOS.US,D,20061227,000000,25.6538,25.724,25.2779,25.4223,790393.05924427,0
LDOS.US,D,20061228,000000,25.9852,25.9852,25.4223,25.7694,912376.70122139,0
LDOS.US,D,20061229,000000,25.8131,25.9852,25.6538,25.8258,810987.35873389,0
LDOS.US,D,20070103,000000,25.9436,26.4243,25.8258,26.3957,1215240.5881733,0
LDOS.US,D,20070104,000000,26.4956,26.6094,25.9852,26.265,677153.22445806,0
LDOS.US,D,20070105,000000,25.6963,26.2503,25.4382,25.4807,778060.33824512,0
LDOS.US,D,20070108,000000,25.4807,25.6538,25.1602,25.641,859754.12613753,0
LDOS.US,D,20070109,000000,25.4807,25.7389,25.2779,25.6696,1364774.9566582,0
LDOS.US,D,20070110,000000,25.8001,26.089,25.5509,25.8131,745615.54645679,0
LDOS.US,D,20070111,000000,25.8131,26.8596,25.7547,26.0455,1461755.4954506,0
LDOS.US,D,20070112,000000,26.0148,26.6835,25.7112,25.7694,968170.66295778,0
LDOS.US,D,20070116,000000,25.7694,25.8131,25.4223,25.6538,857890.92384214,0
LDOS.US,D,20070117,000000,25.5657,26.2503,25.5509,26.1187,1006943.0636267,0
LDOS.US,D,20070118,000000,25.8418,25.8418,25.2463,25.2779,1403070.1834348,0
