<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LVWR.US,D,20220928,000000,7.91,8.1356,6.75,7.35,366567,0
LVWR.US,D,20220929,000000,7.12,7.32,7,7.1,103897,0
LVWR.US,D,20220930,000000,7.13,7.48,7,7.18,707166,0
LVWR.US,D,20221003,000000,9.97,10.5,7.8502,9.3,3265242,0
LVWR.US,D,20221004,000000,9.26,10.2,8.94,9.63,814461,0
LVWR.US,D,20221005,000000,9.11,9.96,8.62,9.52,345657,0
LVWR.US,D,20221006,000000,9.45,9.75,8.81,9.28,138206,0
LVWR.US,D,20221007,000000,9.1,9.5,8.82,9.45,111104,0
LVWR.US,D,20221010,000000,9.36,9.36,8.65,8.76,89794,0
LVWR.US,D,20221011,000000,8.61,8.9,8.5301,8.6,77993,0
LVWR.US,D,20221012,000000,8.55,8.78,7.72,7.79,106795,0
LVWR.US,D,20221013,000000,8,8.19,7.7538,8.08,55201,0
LVWR.US,D,20221014,000000,7.91,7.99,7.44,7.44,42931,0
LVWR.US,D,20221017,000000,7.61,7.61,6.99,7,141741,0
LVWR.US,D,20221018,000000,7.17,7.4,7.05,7.07,25645,0
LVWR.US,D,20221019,000000,7.05,7.22,7.05,7.13,28029,0
LVWR.US,D,20221020,000000,7.15,7.4499,7.01,7.19,29593,0
LVWR.US,D,20221021,000000,7.0938,7.77,7.0938,7.69,57512,0
LVWR.US,D,20221024,000000,7.6,7.67,7.41,7.5,43008,0
LVWR.US,D,20221025,000000,7.49,7.665,7.3,7.62,29104,0
LVWR.US,D,20221026,000000,7.52,7.6761,7.32,7.44,36747,0
LVWR.US,D,20221027,000000,7.48,7.7,7.46,7.7,14912,0
LVWR.US,D,20221028,000000,7.62,8.38,7.5308,8,58340,0
LVWR.US,D,20221031,000000,8.04,8.39,7.94,8.23,31137,0
LVWR.US,D,20221101,000000,8.38,8.4,8.05,8.05,13377,0
LVWR.US,D,20221102,000000,8.02,8.14,7.36,7.46,33954,0
LVWR.US,D,20221103,000000,7.48,7.58,7.3,7.41,45074,0
LVWR.US,D,20221104,000000,7.41,7.51,7.06,7.06,44278,0
LVWR.US,D,20221107,000000,6.99,7.3526,6.71,7,31760,0
LVWR.US,D,20221108,000000,7.08,7.4598,6.86,6.86,18620,0
LVWR.US,D,20221109,000000,6.91,7.15,6.26,6.26,21605,0
LVWR.US,D,20221110,000000,6.45,6.69,6.2,6.25,45780,0
LVWR.US,D,20221111,000000,6.79,6.99,6.5,6.55,29508,0
LVWR.US,D,20221114,000000,6.49,6.7439,6.33,6.62,24951,0
LVWR.US,D,20221115,000000,6.5,7.17,6.2,6.2,58197,0
LVWR.US,D,20221116,000000,6.3,6.3545,5.75,5.85,53778,0
LVWR.US,D,20221117,000000,5.8,6.07,5.79,5.92,10216,0
LVWR.US,D,20221118,000000,6.42,6.5783,5.75,5.75,27461,0
LVWR.US,D,20221121,000000,6.3,6.3,5.425,5.46,37321,0
LVWR.US,D,20221122,000000,5.62,5.79,5.4,5.73,18025,0
LVWR.US,D,20221123,000000,5.79,5.98,5.72,5.98,9247,0
LVWR.US,D,20221125,000000,5.97,6.06,5.79,5.8,3396,0
LVWR.US,D,20221128,000000,6.02,6.34,6.01,6.06,31345,0
LVWR.US,D,20221129,000000,5.98,6.29,5.98,6.12,9711,0
LVWR.US,D,20221130,000000,6.03,6.99,6.03,6.97,24773,0
LVWR.US,D,20221201,000000,6.84,7,6.71,6.8,13503,0
LVWR.US,D,20221202,000000,6.66,7,6.64,6.88,6134,0
LVWR.US,D,20221205,000000,6.78,6.8,6.4,6.42,9801,0
LVWR.US,D,20221206,000000,6.27,6.27,5.54,5.92,43700,0
LVWR.US,D,20221207,000000,5.92,5.99,5.9,5.94,8457,0
LVWR.US,D,20221208,000000,5.9,6.1799,5.7601,5.8,6952,0
LVWR.US,D,20221209,000000,5.8,6.1394,5.8,5.8,5525,0
LVWR.US,D,20221212,000000,5.77,6.05,5.77,5.87,3744,0
LVWR.US,D,20221213,000000,6.45,6.45,5.78,5.91,7753,0
LVWR.US,D,20221214,000000,5.99,6.2399,5.62,5.66,10977,0
LVWR.US,D,20221215,000000,5.56,5.6,5.25,5.3,16061,0
LVWR.US,D,20221216,000000,5.3,5.5,5.3,5.3,10686,0
LVWR.US,D,20221219,000000,5.1,5.15,5,5.09,27545,0
LVWR.US,D,20221220,000000,5.02,5.39,4.99,5.26,23117,0
LVWR.US,D,20221221,000000,5.11,5.26,5.01,5.01,5093,0
LVWR.US,D,20221222,000000,5,5.19,5,5.09,5346,0
LVWR.US,D,20221223,000000,5.15,5.15,4.9,4.99,10118,0
LVWR.US,D,20221227,000000,4.79,4.975,4.76,4.76,9543,0
LVWR.US,D,20221228,000000,4.75,4.8361,4.2,4.2,25928,0
LVWR.US,D,20221229,000000,4.25,4.73,4.25,4.65,13852,0
LVWR.US,D,20221230,000000,4.43,5.1499,4.43,4.85,31879,0
LVWR.US,D,20230103,000000,5,5.31,5,5.08,14191,0
LVWR.US,D,20230104,000000,5,5.4999,5,5.3,9973,0
LVWR.US,D,20230105,000000,5.22,5.3,5.06,5.19,9994,0
LVWR.US,D,20230106,000000,5.15,5.4,4.9943,5.21,10286,0
LVWR.US,D,20230109,000000,5.42,5.42,4.88,5.24,11829,0
LVWR.US,D,20230110,000000,5.35,5.5,5.325,5.45,11492,0
LVWR.US,D,20230111,000000,5.45,5.55,5.275,5.37,14809,0
LVWR.US,D,20230112,000000,5.3,5.6623,5.15,5.221,16987,0
LVWR.US,D,20230113,000000,5.16,5.53,5.145,5.21,12934,0
LVWR.US,D,20230117,000000,5.32,5.37,5.1875,5.22,7022,0
LVWR.US,D,20230118,000000,5.5,5.55,5.19,5.3675,12810,0
LVWR.US,D,20230119,000000,5.37,5.37,5,5.04,13461,0
LVWR.US,D,20230120,000000,5,5.26,5,5.09,10036,0
LVWR.US,D,20230123,000000,5.27,5.43,5.1,5.22,15562,0
LVWR.US,D,20230124,000000,5.42,5.49,5.17,5.32,5052,0
LVWR.US,D,20230125,000000,5.32,7.4999,5.21,5.795,125914,0
LVWR.US,D,20230126,000000,6.08,6.21,5.6,5.89,23758,0
LVWR.US,D,20230127,000000,5.97,6.4099,5.97,6.1,44202,0
LVWR.US,D,20230130,000000,6.07,6.3531,5.9,5.9,19789,0
LVWR.US,D,20230131,000000,5.94,6.7,5.91,6.29,59247,0
LVWR.US,D,20230201,000000,6.16,6.16,5.65,5.81,47602,0
LVWR.US,D,20230202,000000,6.12,6.43,6.05,6.41,48838,0
LVWR.US,D,20230203,000000,6.14,6.83,6.0741,6.7,20406,0
LVWR.US,D,20230206,000000,6.15,7.36,6.15,7.24,27990,0
LVWR.US,D,20230207,000000,7.03,7.38,6.9501,7.38,43192,0
LVWR.US,D,20230208,000000,7.47,8.4522,7.0935,8.1,69247,0
LVWR.US,D,20230209,000000,8.1,8.48,7.59,7.87,25548,0
LVWR.US,D,20230210,000000,7.4,8,7.4,7.61,20552,0
LVWR.US,D,20230213,000000,7.73,7.88,7.3,7.31,35421,0
LVWR.US,D,20230214,000000,7.21,7.825,6.79,7.74,9193,0
LVWR.US,D,20230215,000000,7.8,8.31,7.55,7.55,25411,0
LVWR.US,D,20230216,000000,7.56,8.15,7.1,7.28,31117,0
LVWR.US,D,20230217,000000,7.38,7.9,7.38,7.52,14981,0
LVWR.US,D,20230221,000000,7.56,7.8,7.35,7.5,11122,0
LVWR.US,D,20230222,000000,7.62,7.88,7.4,7.75,14838,0
LVWR.US,D,20230223,000000,7.79,7.79,7.42,7.4586,7635,0
LVWR.US,D,20230224,000000,7.16,7.37,7.16,7.27,3521,0
LVWR.US,D,20230227,000000,7.39,7.39,7.17,7.255,3967,0
LVWR.US,D,20230228,000000,7.34,7.3683,6.86,7.11,3467,0
