<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MGRE.US,D,20240328,000000,25.64,25.68,25.5,25.52,367319,0
MGRE.US,D,20240401,000000,25.55,25.55,25.15,25.49,319816,0
MGRE.US,D,20240402,000000,25.36,25.63,25.225,25.43,273461,0
MGRE.US,D,20240403,000000,25.37,25.4,25.18,25.28,480041,0
MGRE.US,D,20240404,000000,25.33,25.38,25.2,25.27,346792,0
MGRE.US,D,20240405,000000,25.23,25.29,25.2,25.25,67200,0
MGRE.US,D,20240408,000000,25.27,25.29,25.22,25.28,67818,0
MGRE.US,D,20240409,000000,25.3,25.49,25.3,25.47,147174,0
MGRE.US,D,20240410,000000,25.41,25.41,25.235,25.4,171280,0
MGRE.US,D,20240411,000000,25.34,25.45,25.26,25.34,55129,0
MGRE.US,D,20240412,000000,25.3,25.41,25.28,25.29,40817,0
MGRE.US,D,20240415,000000,25.26,25.34,25.19,25.23,487247,0
MGRE.US,D,20240416,000000,25.18,25.4485,25.12,25.34,94044,0
MGRE.US,D,20240417,000000,25.43,25.58,25.3,25.51,103653,0
MGRE.US,D,20240418,000000,25.5,25.59,25.5,25.51,65669,0
MGRE.US,D,20240419,000000,25.56,25.58,25.5,25.51,69518,0
MGRE.US,D,20240422,000000,25.49,25.64,25.49,25.53,325034,0
MGRE.US,D,20240423,000000,25.48,25.64,25.48,25.53,168598,0
MGRE.US,D,20240424,000000,25.52,25.69,25.52,25.53,36393,0
MGRE.US,D,20240425,000000,25.51,25.65,25.51,25.57,107655,0
MGRE.US,D,20240426,000000,25.51,25.6774,25.43,25.51,46145,0
MGRE.US,D,20240429,000000,25.56,25.65,25.52,25.57,593888,0
MGRE.US,D,20240430,000000,25.53,25.69,25.485,25.6,2432169,0
MGRE.US,D,20240501,000000,25.59,25.62,25.54,25.62,122254,0
MGRE.US,D,20240502,000000,25.65,25.65,25.61,25.61,207794,0
MGRE.US,D,20240503,000000,25.8,25.8,25.65,25.69,21888,0
MGRE.US,D,20240506,000000,25.81,25.815,25.7001,25.71,77492,0
MGRE.US,D,20240507,000000,25.84,25.84,25.66,25.68,37703,0
MGRE.US,D,20240508,000000,25.71,25.71,25.6,25.6,16775,0
MGRE.US,D,20240509,000000,25.66,25.66,25.435,25.5,23868,0
MGRE.US,D,20240510,000000,25.53,25.5982,25.42,25.45,15987,0
MGRE.US,D,20240513,000000,25.53,25.58,25.4301,25.5,27709,0
MGRE.US,D,20240514,000000,25.5,25.5488,25.48,25.54,24764,0
MGRE.US,D,20240515,000000,25.63,25.63,25.54,25.55,30294,0
MGRE.US,D,20240516,000000,25.55,25.59,25.52,25.57,15251,0
MGRE.US,D,20240517,000000,25.64,25.64,25.54,25.56,23931,0
MGRE.US,D,20240520,000000,25.6,25.64,25.54,25.59,148210,0
MGRE.US,D,20240521,000000,25.72,25.72,25.58,25.59,93256,0
MGRE.US,D,20240522,000000,25.64,25.64,25.5,25.54,183050,0
MGRE.US,D,20240523,000000,25.63,25.63,25.47,25.49,107913,0
MGRE.US,D,20240524,000000,25.59,25.59,25.44,25.44,111630,0
MGRE.US,D,20240528,000000,25.52,25.5885,25.44,25.44,44707,0
MGRE.US,D,20240529,000000,25.44,25.47,25.38,25.4,142365,0
MGRE.US,D,20240530,000000,25.53,25.53,25.32,25.35,114573,0
MGRE.US,D,20240531,000000,25.38,25.68,25.38,25.68,81847,0
MGRE.US,D,20240603,000000,25.68,25.69,25.6,25.68,31153,0
MGRE.US,D,20240604,000000,25.69,25.81,25.62,25.75,101268,0
MGRE.US,D,20240605,000000,25.83,25.83,25.56,25.68,79853,0
MGRE.US,D,20240606,000000,25.68,25.79,25.66,25.79,25440,0
MGRE.US,D,20240607,000000,25.79,25.85,25.65,25.85,44721,0
MGRE.US,D,20240610,000000,25.83,25.91,25.77,25.86,16331,0
MGRE.US,D,20240611,000000,25.86,25.88,25.6701,25.84,48035,0
MGRE.US,D,20240612,000000,25.92,26,25.83,25.97,70069,0
MGRE.US,D,20240613,000000,26.06,26.06,25.7,25.82,63134,0
