<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MHI.US,D,20050225,000000,7.21216,7.24265,7.19411,7.22717,142196.74859112,0
MHI.US,D,20050228,000000,7.24773,7.2635,7.21216,7.23833,130897.46796714,0
MHI.US,D,20050301,000000,7.23833,7.32203,7.2215,7.31299,113760.72861765,0
MHI.US,D,20050302,000000,7.31299,7.35249,7.31299,7.33768,119602.34952409,0
MHI.US,D,20050303,000000,7.3426,7.39804,7.32922,7.3921,145230.97847414,0
MHI.US,D,20050304,000000,7.40737,7.43552,7.39804,7.42994,80068.914700702,0
MHI.US,D,20050307,000000,7.41755,7.44005,7.40333,7.42227,118793.84588241,0
MHI.US,D,20050308,000000,7.42227,7.4512,7.41755,7.4512,140994.91885352,0
MHI.US,D,20050309,000000,7.42227,7.4512,7.36769,7.39804,191417.65948129,0
MHI.US,D,20050310,000000,7.38641,7.41755,7.35566,7.41755,113354.91597895,0
MHI.US,D,20050311,000000,7.35249,7.3921,7.31299,7.33768,112947.02224984,0
MHI.US,D,20050314,000000,7.32922,7.32922,7.24265,7.24773,75239.744300486,0
MHI.US,D,20050315,000000,7.29156,7.3426,7.23833,7.26927,107506.01125593,0
MHI.US,D,20050316,000000,7.2635,7.32203,7.24265,7.31299,87733.570845489,0
MHI.US,D,20050317,000000,7.32203,7.34768,7.30059,7.3326,85113.477962978,0
MHI.US,D,20050318,000000,7.3326,7.3326,7.24773,7.28522,71803.86395972,0
MHI.US,D,20050321,000000,7.29156,7.30444,7.1894,7.24265,63334.866354175,0
MHI.US,D,20050322,000000,7.24265,7.28003,7.21216,7.23833,110532.95732234,0
MHI.US,D,20050323,000000,7.23833,7.23833,6.99615,7.00094,193425.91177011,0
MHI.US,D,20050324,000000,7.04082,7.11242,6.98663,7.04082,106899.37338837,0
MHI.US,D,20050328,000000,7.06418,7.06418,6.89707,6.89707,196858.67047519,0
MHI.US,D,20050329,000000,6.94183,7.00682,6.93636,6.94183,93385.812520547,0
MHI.US,D,20050330,000000,6.94183,7.01469,6.94183,7.01162,72607.164875247,0
MHI.US,D,20050331,000000,7.04082,7.09954,7.03122,7.05361,70188.937766845,0
MHI.US,D,20050401,000000,7.08888,7.29156,7.08888,7.17883,159136.82489267,0
MHI.US,D,20050404,000000,7.2215,7.25149,7.1894,7.2016,30456.758805046,0
MHI.US,D,20050405,000000,7.21216,7.28003,7.1573,7.1573,97012.112637925,0
MHI.US,D,20050406,000000,7.1573,7.16595,7.06871,7.11242,143606.68737421,0
MHI.US,D,20050407,000000,7.08888,7.10848,7.04515,7.04515,79270.81651131,0
MHI.US,D,20050408,000000,7.00094,7.03122,6.93099,6.93636,176286.05078493,0
MHI.US,D,20050411,000000,6.91407,6.95742,6.90552,6.95163,102662.27322253,0
MHI.US,D,20050412,000000,6.97538,6.99615,6.92473,6.99615,105887.96342736,0
MHI.US,D,20050413,000000,6.95742,6.97538,6.90023,6.91407,74427.078477913,0
MHI.US,D,20050414,000000,6.93636,7.00094,6.93636,6.99615,123841.53078036,0
MHI.US,D,20050415,000000,6.99615,6.99615,6.93099,6.93636,47393.713470905,0
MHI.US,D,20050418,000000,6.94183,6.98663,6.94183,6.96616,75637.232577342,0
MHI.US,D,20050419,000000,6.99124,7.02641,6.96616,6.96981,92975.837700968,0
MHI.US,D,20050420,000000,6.94183,6.98663,6.93099,6.96616,59105.050004928,0
MHI.US,D,20050421,000000,6.96616,6.96616,6.90552,6.94183,86936.513201326,0
MHI.US,D,20050422,000000,6.95163,6.99615,6.93099,6.97538,86312.186064905,0
MHI.US,D,20050425,000000,6.94693,7.00682,6.94693,6.99124,62329.699664539,0
MHI.US,D,20050426,000000,6.99615,7.03122,6.98663,7.00682,58080.11295597,0
MHI.US,D,20050427,000000,7.00094,7.06418,7.00094,7.04515,64543.979908378,0
MHI.US,D,20050428,000000,7.06418,7.11242,7.04515,7.09954,108916.99058423,0
MHI.US,D,20050429,000000,7.07851,7.11242,7.05361,7.0835,105682.97601758,0
MHI.US,D,20050502,000000,7.11242,7.13462,7.09954,7.11829,82086.531896565,0
MHI.US,D,20050503,000000,7.13462,7.15271,7.09954,7.14692,57687.827405254,0
MHI.US,D,20050504,000000,7.15271,7.17096,7.14058,7.17096,80685.95802053,0
MHI.US,D,20050505,000000,7.16595,7.21678,7.16595,7.20738,67760.305206169,0
MHI.US,D,20050506,000000,7.1894,7.1894,7.11829,7.12405,73425.033423958,0
MHI.US,D,20050509,000000,7.13462,7.13462,7.07504,7.08888,103868.26514105,0
MHI.US,D,20050510,000000,7.10512,7.14058,7.07851,7.14058,87733.570845489,0
MHI.US,D,20050511,000000,7.11242,7.12405,7.08888,7.09415,58694.034640117,0
MHI.US,D,20050512,000000,7.08888,7.12867,7.06418,7.11242,103672.64263829,0
MHI.US,D,20050513,000000,7.0584,7.14058,7.0584,7.10848,107096.03643633,0
MHI.US,D,20050516,000000,7.11829,7.16595,7.08888,7.16595,59497.335555644,0
MHI.US,D,20050517,000000,7.17883,7.20738,7.16595,7.19709,79270.81651131,0
MHI.US,D,20050518,000000,7.1894,7.23833,7.1894,7.21216,81276.987709674,0
MHI.US,D,20050519,000000,7.19709,7.23833,7.19709,7.23833,64134.005088795,0
MHI.US,D,20050520,000000,7.24773,7.25724,7.19709,7.24265,49607.993714745,0
MHI.US,D,20050523,000000,7.24773,7.30059,7.21216,7.28522,43773.656624895,0
MHI.US,D,20050524,000000,7.28003,7.31299,7.2635,7.26927,83298.767086449,0
MHI.US,D,20050525,000000,7.28003,7.29532,7.2215,7.2215,82895.035538231,0
MHI.US,D,20050526,000000,7.22717,7.25149,7.19709,7.22717,52439.317278412,0
MHI.US,D,20050527,000000,7.22717,7.31914,7.21216,7.31914,57886.571543679,0
MHI.US,D,20050531,000000,7.36769,7.37767,7.30059,7.30059,55670.210209386,0
MHI.US,D,20050601,000000,7.30914,7.38641,7.30914,7.37767,72815.273920723,0
MHI.US,D,20050602,000000,7.38641,7.41218,7.33768,7.33768,162565.42141685,0
MHI.US,D,20050603,000000,7.32203,7.36769,7.28522,7.31914,126668.69216314,0
MHI.US,D,20050606,000000,7.32922,7.3426,7.31299,7.31299,61520.155477647,0
MHI.US,D,20050607,000000,7.31914,7.33768,7.23294,7.25724,178907.18421265,0
MHI.US,D,20050608,000000,7.25724,7.29532,7.24773,7.26927,96615.664906298,0
MHI.US,D,20050609,000000,7.23833,7.29156,7.23833,7.28522,66360.771875363,0
MHI.US,D,20050610,000000,7.28003,7.31914,7.2635,7.29532,84313.298683131,0
MHI.US,D,20050613,000000,7.25149,7.30059,7.24265,7.28522,73016.099149603,0
MHI.US,D,20050614,000000,7.26927,7.29532,7.17096,7.20738,105494.63733142,0
MHI.US,D,20050615,000000,7.1894,7.28003,7.1894,7.2635,54465.258836096,0
MHI.US,D,20050616,000000,7.23833,7.27341,7.2016,7.20738,77052.374086562,0
MHI.US,D,20050617,000000,7.2215,7.24773,7.2016,7.2215,43170.140393023,0
MHI.US,D,20050620,000000,7.2016,7.2635,7.19709,7.23833,48615.313567837,0
MHI.US,D,20050621,000000,7.21678,7.29532,7.21678,7.25724,75841.179441905,0
