<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MUC.US,D,20050225,000000,8.40902,8.49021,8.40902,8.4759,94487.635142207,0
MUC.US,D,20050228,000000,8.49564,8.50008,8.44029,8.46989,98989.411605179,0
MUC.US,D,20050301,000000,8.48044,8.49021,8.45628,8.48044,78883.977161003,0
MUC.US,D,20050302,000000,8.49021,8.50008,8.45628,8.50008,122222.06523158,0
MUC.US,D,20050303,000000,8.50008,8.52404,8.48044,8.51792,90490.673963756,0
MUC.US,D,20050304,000000,8.51162,8.56193,8.50008,8.549,46802.864461131,0
MUC.US,D,20050307,000000,8.549,8.56193,8.53045,8.549,92572.783591081,0
MUC.US,D,20050308,000000,8.55374,8.56193,8.4759,8.50629,106446.08074763,0
MUC.US,D,20050309,000000,8.4616,8.48044,8.4465,8.45105,140945.84659784,0
MUC.US,D,20050310,000000,8.45105,8.45105,8.3739,8.42225,66743.06819973,0
MUC.US,D,20050311,000000,8.38396,8.38396,8.31205,8.35239,54608.241350318,0
MUC.US,D,20050314,000000,8.3305,8.35575,8.30603,8.31205,66570.741696981,0
MUC.US,D,20050315,000000,8.30603,8.32615,8.27969,8.2938,132624.50388572,0
MUC.US,D,20050316,000000,8.28403,8.30603,8.19841,8.21183,114594.08327169,0
MUC.US,D,20050317,000000,8.21183,8.28403,8.20511,8.20511,86342.673674073,0
MUC.US,D,20050318,000000,8.27969,8.28403,8.22612,8.2497,49578.334840687,0
MUC.US,D,20050321,000000,8.24349,8.28403,8.21932,8.27397,82178.454419426,0
MUC.US,D,20050322,000000,8.28403,8.28403,8.18479,8.18479,99516.527966527,0
MUC.US,D,20050323,000000,8.13832,8.16841,7.89594,8.15944,201453.73645401,0
MUC.US,D,20050324,000000,8.04451,8.12658,8.03445,8.06305,169386.81534849,0
MUC.US,D,20050328,000000,8.09867,8.09867,7.98344,8.02251,171289.50267588,0
MUC.US,D,20050329,000000,7.98344,8.08771,7.98344,8.08771,115632.09702942,0
MUC.US,D,20050330,000000,8.09364,8.10961,8.04451,8.08771,94487.635142207,0
