<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NPWR-WS.US,D,20230612,000000,4,4.2633,3.5,4.15,503141,0
NPWR-WS.US,D,20230613,000000,4.55,4.55,3.46,3.87,242683,0
NPWR-WS.US,D,20230614,000000,3.78,3.78,2.96,3.74,110710,0
NPWR-WS.US,D,20230615,000000,3.4,3.5,3.25,3.325,24091,0
NPWR-WS.US,D,20230616,000000,3.4,3.4,3.03,3.38,32611,0
NPWR-WS.US,D,20230620,000000,3.37,3.41,3.06,3.1312,36731,0
NPWR-WS.US,D,20230621,000000,3.19,3.2899,3.06,3.155,7784,0
NPWR-WS.US,D,20230622,000000,3.2001,3.25,2.95,3.25,59579,0
NPWR-WS.US,D,20230623,000000,3.1781,3.2,3.1781,3.18,1971,0
NPWR-WS.US,D,20230626,000000,3.15,3.2246,2.96,3.21,12078,0
NPWR-WS.US,D,20230627,000000,3.4101,3.69,3.31,3.615,37869,0
NPWR-WS.US,D,20230628,000000,3.61,3.72,3.355,3.4,10421,0
NPWR-WS.US,D,20230629,000000,3.31,3.68,3.31,3.59,27360,0
NPWR-WS.US,D,20230630,000000,3.58,3.58,3.25,3.36,30543,0
NPWR-WS.US,D,20230703,000000,3.6,3.6,3.35,3.395,3719,0
NPWR-WS.US,D,20230705,000000,3.6,3.6,3.1499,3.29,4714,0
NPWR-WS.US,D,20230706,000000,3.2,3.3,3.2,3.3,26248,0
NPWR-WS.US,D,20230707,000000,3.23,3.265,3.2,3.2,37000,0
NPWR-WS.US,D,20230710,000000,3.2,3.36,3.19,3.34,132579,0
NPWR-WS.US,D,20230711,000000,3.4,3.4,3.16,3.25,6504,0
NPWR-WS.US,D,20230712,000000,3.35,3.38,3.2108,3.35,35303,0
NPWR-WS.US,D,20230713,000000,3.4,3.4,3.21,3.2198,62271,0
NPWR-WS.US,D,20230714,000000,3.4,3.5,3.2,3.23,59798,0
NPWR-WS.US,D,20230717,000000,3.28,3.28,3.19,3.215,29407,0
NPWR-WS.US,D,20230718,000000,3.2,3.2486,3.1101,3.19,9743,0
NPWR-WS.US,D,20230719,000000,3.25,3.25,3.11,3.11,18479,0
NPWR-WS.US,D,20230720,000000,3.14,3.23,3.12,3.12,6162,0
NPWR-WS.US,D,20230721,000000,3.11,3.19,2.99,3.1,38398,0
