<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PBA.US,D,20120402,000000,16.3999,16.5675,16.1155,16.5675,395271.5235639,0
PBA.US,D,20120403,000000,16.3333,16.7727,16.3333,16.7313,583762.63521513,0
PBA.US,D,20120404,000000,16.5203,16.7015,16.475,16.6696,443717.57576812,0
PBA.US,D,20120405,000000,16.737,17.167,16.6416,17.0677,547415.387234,0
PBA.US,D,20120409,000000,16.9135,17.1872,16.8442,17.1044,383276.4648752,0
PBA.US,D,20120410,000000,17.1159,17.1159,16.5472,16.6869,400182.83716295,0
PBA.US,D,20120411,000000,16.8085,17.1188,16.7015,16.9829,311572.73876657,0
PBA.US,D,20120412,000000,17.0127,17.0677,16.8933,16.9732,395665.75659465,0
PBA.US,D,20120413,000000,16.9038,17.1044,16.8693,16.9993,280053.80795697,0
PBA.US,D,20120416,000000,17.0369,17.1593,16.9038,17.1188,723678.01274412,0
PBA.US,D,20120417,000000,17.2412,17.3107,16.9347,17.0426,894712.90077521,0
PBA.US,D,20120418,000000,16.9732,16.9954,16.7149,16.9038,364140.60105299,0
PBA.US,D,20120419,000000,16.8933,17.0851,16.7208,16.743,247702.83796136,0
PBA.US,D,20120420,000000,16.8151,16.9347,16.7929,16.8481,194726.21826937,0
PBA.US,D,20120423,000000,16.8373,17.0223,16.7256,16.9549,393757.87621683,0
PBA.US,D,20120424,000000,17.0303,17.2018,16.9732,17.1931,338599.48793616,0
PBA.US,D,20120425,000000,17.2624,17.4311,17.2018,17.3905,267869.93239564,0
PBA.US,D,20120426,000000,17.3646,17.6653,17.3415,17.3848,270263.34187451,0
PBA.US,D,20120427,000000,17.4513,17.5458,17.2624,17.539,236194.34582906,0
PBA.US,D,20120430,000000,17.4542,17.539,17.2624,17.3905,224346.60579925,0
PBA.US,D,20120501,000000,17.4311,17.4668,17.274,17.3221,181148.00272557,0
PBA.US,D,20120502,000000,17.2693,17.4022,17.2297,17.3541,175692.02507087,0
PBA.US,D,20120503,000000,17.3646,17.5507,17.3221,17.3481,292072.72811856,0
PBA.US,D,20120504,000000,17.3646,17.78,17.3646,17.7213,608595.1663319,0
PBA.US,D,20120507,000000,17.6461,17.7984,17.5507,17.7492,260429.30266762,0
PBA.US,D,20120508,000000,17.5537,17.6248,17.1738,17.4022,335715.36207952,0
PBA.US,D,20120509,000000,17.1488,17.4851,17.1285,17.436,229900.10425632,0
PBA.US,D,20120510,000000,17.5729,17.7252,17.5458,17.6073,197509.71095764,0
PBA.US,D,20120511,000000,17.6305,17.7096,17.4407,17.4793,169319.97434729,0
PBA.US,D,20120514,000000,17.3047,17.5584,17.2835,17.4176,209855.42955261,0
PBA.US,D,20120515,000000,17.436,17.6073,17.1188,17.1488,330823.760132,0
PBA.US,D,20120516,000000,17.217,17.217,16.9135,16.9482,692115.50881004,0
PBA.US,D,20120517,000000,16.9415,16.9771,16.7727,16.8442,306267.19213676,0
PBA.US,D,20120518,000000,16.899,16.9657,16.8315,16.8693,222178.32413005,0
PBA.US,D,20120521,000000,16.8315,16.8547,15.8224,16.3333,676808.89266294,0
PBA.US,D,20120522,000000,16.7873,16.9482,16.6291,16.7873,1062847.0636643,0
PBA.US,D,20120523,000000,16.6869,16.7015,16.4432,16.6937,204176.39899894,0
