<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PGRE.US,D,20141119,000000,14.6155,14.6243,13.8246,14.3721,72465666.340332,0
PGRE.US,D,20141120,000000,14.3164,14.4503,14.3086,14.3477,8404357.6168867,0
PGRE.US,D,20141121,000000,14.4581,14.6712,14.3936,14.5676,13021424.363863,0
PGRE.US,D,20141124,000000,14.6634,14.7339,14.5276,14.6712,4394607.8616341,0
PGRE.US,D,20141125,000000,14.7025,14.8521,14.5139,14.8521,7417577.2096587,0
PGRE.US,D,20141126,000000,14.901,14.901,14.7583,14.8521,2005300.9088645,0
PGRE.US,D,20141128,000000,14.8589,14.9802,14.8589,14.8589,928142.55186017,0
PGRE.US,D,20141201,000000,14.8589,14.9235,14.3565,14.4249,3329471.4617547,0
PGRE.US,D,20141202,000000,14.4737,14.7339,14.4249,14.4425,1712481.9160788,0
PGRE.US,D,20141203,000000,14.4581,14.7828,14.4161,14.6243,3094313.4699971,0
PGRE.US,D,20141204,000000,14.5432,14.7339,14.4816,14.6243,2077569.7180862,0
PGRE.US,D,20141205,000000,14.5608,14.6243,14.4581,14.551,1859890.7702621,0
PGRE.US,D,20141208,000000,14.5051,14.6634,14.4581,14.5051,2067211.9934333,0
PGRE.US,D,20141209,000000,14.5276,14.5432,14.3653,14.4895,2058162.5375767,0
PGRE.US,D,20141210,000000,14.4161,14.5344,14.2665,14.4073,5570644.3354962,0
PGRE.US,D,20141211,000000,14.4249,14.64,14.2744,14.5608,2709124.972043,0
PGRE.US,D,20141212,000000,14.5921,14.6009,14.3653,14.4973,1613788.9412477,0
PGRE.US,D,20141215,000000,14.4425,14.5852,13.9517,14.2744,2973439.2529086,0
PGRE.US,D,20141216,000000,14.07,14.4249,14.0622,14.3086,3386809.2313992,0
PGRE.US,D,20141217,000000,14.3164,14.5432,14.2529,14.4816,2884473.9061093,0
PGRE.US,D,20141218,000000,14.6243,14.7025,14.3477,14.5051,2848174.8171542,0
PGRE.US,D,20141219,000000,14.4737,14.5207,14.289,14.289,10425172.60928,0
PGRE.US,D,20141222,000000,14.3477,14.6087,14.2812,14.5608,5293496.9503944,0
PGRE.US,D,20141223,000000,14.5676,14.8208,14.5276,14.6488,2233623.9888967,0
PGRE.US,D,20141224,000000,14.5852,14.7339,14.5852,14.5921,274426.51332841,0
