<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QDCC.US,D,20240509,000000,25.2752,25.2752,25.2752,25.2752,6,0
QDCC.US,D,20240510,000000,25.33,25.33,25.295,25.3003,10251,0
QDCC.US,D,20240513,000000,25.35,25.35,25.3003,25.3003,309,0
QDCC.US,D,20240514,000000,25.3051,25.3051,25.3051,25.3051,56,0
QDCC.US,D,20240515,000000,25.27,25.3102,25.27,25.3102,186,0
QDCC.US,D,20240516,000000,25.3301,25.3301,25.3301,25.3301,123,0
QDCC.US,D,20240517,000000,25.5,25.5,25.4602,25.4602,192,0
QDCC.US,D,20240520,000000,25.38,25.38,25.2648,25.2648,153,0
QDCC.US,D,20240521,000000,25.2402,25.2402,25.2402,25.2402,118,0
QDCC.US,D,20240522,000000,25.1762,25.1762,25.1762,25.1762,168,0
QDCC.US,D,20240523,000000,25.0499,25.0499,25.0499,25.0499,45,0
QDCC.US,D,20240524,000000,25.1,25.1,25.0852,25.0852,2450,0
QDCC.US,D,20240528,000000,25.03,25.03,24.9206,24.9206,248,0
QDCC.US,D,20240529,000000,24.6421,24.6421,24.6421,24.6421,118,0
QDCC.US,D,20240530,000000,24.77,24.77,24.77,24.77,203,0
QDCC.US,D,20240531,000000,25.1386,25.1386,25.1386,25.1386,4,0
QDCC.US,D,20240603,000000,25.03,25.03,25.03,25.03,60,0
QDCC.US,D,20240604,000000,25.04,25.04,25.0251,25.0251,189,0
QDCC.US,D,20240605,000000,25.0653,25.0653,25.0653,25.0653,23,0
QDCC.US,D,20240606,000000,25.0506,25.0506,25.0506,25.0506,2,0
QDCC.US,D,20240607,000000,25.2599,25.2599,25.0796,25.0796,553,0
QDCC.US,D,20240610,000000,25.12,25.12,25.0752,25.0752,118,0
QDCC.US,D,20240611,000000,25.0103,25.0103,25.0103,25.0103,27,0
QDCC.US,D,20240612,000000,25.07,25.0701,24.9884,24.9884,200,0
QDCC.US,D,20240613,000000,24.915,24.915,24.915,24.915,446,0
QDCC.US,D,20240614,000000,24.726,24.726,24.726,24.726,9,0
QDCC.US,D,20240617,000000,24.9553,24.9553,24.9553,24.9553,3,0
QDCC.US,D,20240618,000000,25.0452,25.0452,25.0452,25.0452,24,0
QDCC.US,D,20240620,000000,25.21,25.21,25.1265,25.1538,684,0
QDCC.US,D,20240621,000000,25.08,25.18,25.08,25.1459,402,0
QDCC.US,D,20240624,000000,24.9799,24.9799,24.9799,24.9799,405,0
QDCC.US,D,20240625,000000,24.9501,24.9501,24.9501,24.9501,182,0
QDCC.US,D,20240626,000000,24.9299,24.9299,24.9299,24.9299,86,0
QDCC.US,D,20240627,000000,24.87,24.9201,24.87,24.9201,430,0
QDCC.US,D,20240628,000000,24.9469,24.9469,24.9469,24.9469,180,0
QDCC.US,D,20240701,000000,24.85,24.9041,24.85,24.9041,374,0
QDCC.US,D,20240702,000000,24.9302,24.9302,24.9302,24.9302,28,0
QDCC.US,D,20240703,000000,24.9489,24.9489,24.9489,24.9489,4,0
QDCC.US,D,20240705,000000,24.91,24.91,24.91,24.91,55,0
QDCC.US,D,20240708,000000,24.9219,24.9219,24.9219,24.9219,141,0
QDCC.US,D,20240709,000000,24.8903,24.8903,24.8903,24.8903,195,0
QDCC.US,D,20240710,000000,24.9709,24.9709,24.9709,24.9709,10,0
QDCC.US,D,20240711,000000,25.0801,25.0801,25.0801,25.0801,95,0
