<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RYI.US,D,20140808,000000,10.0938,10.2307,9.76171,10.0445,6835805.072677,0
RYI.US,D,20140811,000000,10.1814,10.3766,10.0544,10.1135,559622.7024858,0
RYI.US,D,20140812,000000,10.143,10.1914,9.8898,10.1332,260186.55943786,0
RYI.US,D,20140813,000000,10.1036,10.1717,10.0248,10.1332,137556.22156815,0
RYI.US,D,20140814,000000,10.0741,10.1332,10.0061,10.0938,126000.76418116,0
RYI.US,D,20140815,000000,10.0938,10.143,9.98639,10.0938,105808.65280126,0
RYI.US,D,20140818,000000,10.143,10.1914,10.0544,10.0741,125041.6997836,0
RYI.US,D,20140819,000000,10.0061,10.0445,9.82083,10.0445,133610.35661815,0
RYI.US,D,20140820,000000,9.95784,10.211,9.93812,10.1717,78055.663366469,0
RYI.US,D,20140821,000000,10.152,10.1814,10.0938,10.143,63877.748409836,0
RYI.US,D,20140822,000000,9.90854,10.152,9.89864,10.143,67904.80399666,0
RYI.US,D,20140825,000000,10.211,10.484,10.0445,10.3175,199292.56693157,0
RYI.US,D,20140826,000000,10.3175,10.3272,10.1717,10.2504,110468.99535537,0
RYI.US,D,20140827,000000,10.2701,10.5333,10.1233,10.4643,117045.43693869,0
RYI.US,D,20140828,000000,10.3667,10.8161,10.3085,10.5037,234518.1396037,0
RYI.US,D,20140829,000000,10.5333,10.7175,10.5333,10.6781,53750.231348116,0
RYI.US,D,20140902,000000,10.5627,10.5627,10.1814,10.3864,74018.458950042,0
RYI.US,D,20140903,000000,10.3569,10.4544,10.2898,10.3469,106279.55849488,0
RYI.US,D,20140904,000000,10.1233,10.484,10.0061,10.2997,114343.81849813,0
RYI.US,D,20140905,000000,10.3272,10.4544,10.152,10.2504,86823.237261269,0
RYI.US,D,20140908,000000,10.3272,10.6593,10.0445,10.5037,158570.38814596,0
RYI.US,D,20140909,000000,10.3569,10.7668,10.3569,10.6593,348310.87665434,0
RYI.US,D,20140910,000000,10.6683,11.4978,10.4938,11.1382,432619.23393977,0
RYI.US,D,20140911,000000,11.0003,11.3126,10.9323,11.1569,237761.70554511,0
RYI.US,D,20140912,000000,10.9136,11.3915,10.8258,11.352,166434.71620601,0
RYI.US,D,20140915,000000,11.2742,11.6062,10.7864,11.3619,257351.99132949,0
RYI.US,D,20140916,000000,11.3028,11.4584,11.0299,11.3225,498762.20111719,0
RYI.US,D,20140917,000000,11.7511,12.6586,11.5866,12.0634,512390.04950929,0
RYI.US,D,20140918,000000,12.435,13.0882,12.1915,12.8833,380809.45881192,0
RYI.US,D,20140919,000000,13.0882,13.5848,12.7265,13.0586,862136.98555259,0
RYI.US,D,20140922,000000,13.0981,13.3513,12.6093,13.2439,737397.7208912,0
RYI.US,D,20140923,000000,13.1562,13.9268,12.9897,13.6735,395730.26809556,0
RYI.US,D,20140924,000000,13.702,13.8883,13.0784,13.4686,158133.988473,0
RYI.US,D,20140925,000000,13.3809,13.5465,12.903,12.971,256096.58110749,0
RYI.US,D,20140926,000000,12.9513,13.4292,12.9513,13.3119,207447.15151829,0
RYI.US,D,20140929,000000,13.3217,13.4192,13.166,13.3119,148045.03696377,0
RYI.US,D,20140930,000000,13.2341,13.4095,12.297,12.4833,865649.4954785,0
RYI.US,D,20141001,000000,12.5423,12.5423,11.8596,12.162,295049.81889314,0
RYI.US,D,20141002,000000,12.1719,12.7178,12.0634,12.6586,172518.93955354,0
RYI.US,D,20141003,000000,12.7857,13.2251,12.629,12.766,247986.65137102,0
RYI.US,D,20141006,000000,12.8251,13.1562,12.7759,12.8833,193939.05931552,0
RYI.US,D,20141007,000000,12.7078,12.8537,12.3857,12.5807,190443.80239993,0
RYI.US,D,20141008,000000,12.5226,12.5226,11.5372,12.3068,417289.4268231,0
RYI.US,D,20141009,000000,12.2694,12.5709,11.2151,11.225,260112.47298175,0
RYI.US,D,20141010,000000,11.2348,11.6743,10.6396,10.8161,236266.78294445,0
RYI.US,D,20141013,000000,10.8653,11.1668,10.3569,10.4544,203584.50697105,0
RYI.US,D,20141014,000000,10.4741,10.8938,10.3962,10.4938,223763.42487246,0
RYI.US,D,20141015,000000,10.3085,10.6978,10.2406,10.6683,172108.92683754,0
RYI.US,D,20141016,000000,10.4741,10.7273,10.2209,10.5234,142189.16228233,0
RYI.US,D,20141017,000000,10.6978,11.5472,10.6012,11.488,126799.47707099,0
RYI.US,D,20141020,000000,11.4781,11.7905,11.2545,11.7807,125424.31065966,0
RYI.US,D,20141021,000000,11.7905,11.8988,11.5275,11.7314,81918.30791371,0
RYI.US,D,20141022,000000,11.6841,11.8201,11.5078,11.6062,68251.893969112,0
RYI.US,D,20141023,000000,11.7314,11.8693,11.1382,11.4978,123214.9104549,0
RYI.US,D,20141024,000000,11.5472,11.8792,11.3028,11.8596,46701.869188215,0
RYI.US,D,20141027,000000,11.7216,12.3265,11.6348,12.0241,102205.81829188,0
RYI.US,D,20141028,000000,12.1029,12.435,11.9185,12.3857,52722.154909242,0
RYI.US,D,20141029,000000,12.5423,12.6881,12.1324,12.3365,50783.7284549,0
RYI.US,D,20141030,000000,12.3365,12.5423,12.0241,12.1915,44471.156441281,0
RYI.US,D,20141031,000000,12.5029,12.8537,11.9757,12.4635,130849.8749659,0
RYI.US,D,20141103,000000,12.4448,12.6192,11.8102,12.2202,70342.552867513,0
RYI.US,D,20141104,000000,12.1423,12.1423,11.488,11.5669,59713.683623361,0
RYI.US,D,20141105,000000,11.625,11.9482,11.352,11.7708,66571.247786709,0
RYI.US,D,20141106,000000,11.8004,12.0733,11.5472,11.8299,53248.879165684,0
RYI.US,D,20141107,000000,11.8004,12.0831,11.6644,11.8299,71184.905724636,0
RYI.US,D,20141110,000000,11.8102,11.8201,11.4013,11.4781,67050.272544012,0
RYI.US,D,20141111,000000,11.4112,11.693,11.4013,11.5767,52564.848050382,0
RYI.US,D,20141112,000000,11.5372,11.7807,11.3323,11.6743,94312.058625979,0
RYI.US,D,20141113,000000,11.5964,11.5964,9.41094,9.61687,537684.99241403,0
RYI.US,D,20141114,000000,9.55776,9.87011,9.2649,9.4405,174831.85782027,0
RYI.US,D,20141117,000000,9.45035,9.81099,9.28442,9.58731,136463.19261981,0
RYI.US,D,20141118,000000,9.55776,10.0642,9.41094,9.75186,147898.89381747,0
RYI.US,D,20141119,000000,9.83069,9.93812,9.58731,9.74202,132127.61261303,0
RYI.US,D,20141120,000000,9.68388,10.1814,9.49863,10.1233,167799.73378774,0
RYI.US,D,20141121,000000,10.2898,10.9037,10.2504,10.7175,314354.92256566,0
