<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SGI.US,D,20050225,000000,4.6357,4.73153,4.53986,4.69075,2398460,0
SGI.US,D,20050228,000000,4.69075,4.70033,4.58551,4.58774,2383016,0
SGI.US,D,20050301,000000,4.58551,4.58774,4.31225,4.48967,5734851,0
SGI.US,D,20050302,000000,4.492,4.492,4.4105,4.44889,2774967,0
SGI.US,D,20050303,000000,4.45606,4.62368,4.45606,4.5543,3262924,0
SGI.US,D,20050304,000000,4.5543,4.65478,4.53986,4.6357,7174094,0
SGI.US,D,20050307,000000,4.75546,4.87514,4.74335,4.81061,4419579,0
SGI.US,D,20050308,000000,4.80342,4.81545,4.65478,4.67406,6213205,0
SGI.US,D,20050309,000000,4.91127,4.97105,4.6979,4.75305,13220751,0
SGI.US,D,20050310,000000,4.79131,4.79131,4.73628,4.78172,7856565,0
SGI.US,D,20050311,000000,4.79131,4.81301,4.67164,4.67406,4324407,0
SGI.US,D,20050314,000000,4.7171,4.76516,4.59974,4.66922,4994358,0
SGI.US,D,20050315,000000,4.53511,4.59974,4.42002,4.50158,14898755,0
SGI.US,D,20050316,000000,4.492,4.50158,4.44889,4.48724,9965758,0
SGI.US,D,20050317,000000,4.52543,4.61409,4.492,4.61409,5742363,0
SGI.US,D,20050318,000000,4.61165,4.61885,4.47514,4.55197,4526018,0
SGI.US,D,20050321,000000,4.53986,4.54227,4.46788,4.50402,4300197,0
SGI.US,D,20050322,000000,4.47999,4.48967,4.3793,4.38417,3932456,0
SGI.US,D,20050323,000000,4.38417,4.38417,4.17824,4.24752,5932704,0
SGI.US,D,20050324,000000,4.26923,4.39616,4.26923,4.3793,6373492,0
SGI.US,D,20050328,000000,4.38417,4.39384,4.33618,4.37445,2669780,0
SGI.US,D,20050329,000000,4.3793,4.40807,4.31225,4.35538,6187327,0
SGI.US,D,20050330,000000,4.31225,4.44889,4.29317,4.44404,6254948,0
SGI.US,D,20050331,000000,4.47999,4.50158,4.40807,4.47028,3462867,0
SGI.US,D,20050401,000000,4.47028,4.53027,4.46302,4.51583,6070033,0
SGI.US,D,20050404,000000,4.51583,4.58066,4.492,4.54227,2959881,0
SGI.US,D,20050405,000000,4.5543,4.60934,4.54227,4.57582,3885706,0
SGI.US,D,20050406,000000,4.57582,4.61165,4.55197,4.58066,1992735,0
SGI.US,D,20050407,000000,4.58307,4.59742,4.54471,4.58774,3129770,0
SGI.US,D,20050408,000000,4.58774,4.59974,4.57097,4.57824,1872101,0
SGI.US,D,20050411,000000,4.57582,4.57582,4.48967,4.49431,1926364,0
SGI.US,D,20050412,000000,4.49675,4.61165,4.492,4.5734,1853317,0
SGI.US,D,20050413,000000,4.5734,4.57582,4.46082,4.47028,3223270,0
SGI.US,D,20050414,000000,4.45606,4.55197,4.40807,4.46302,4162452,0
SGI.US,D,20050415,000000,4.46543,4.52784,4.45606,4.50867,2875981,0
SGI.US,D,20050418,000000,4.50867,4.53511,4.44404,4.44889,3039190,0
SGI.US,D,20050419,000000,4.50158,4.56371,4.492,4.55197,2611341,0
SGI.US,D,20050420,000000,4.55197,4.64761,4.50867,4.57582,5796627,0
SGI.US,D,20050421,000000,4.61165,4.6979,4.59974,4.6668,8547385,0
SGI.US,D,20050422,000000,4.76759,4.92794,4.73628,4.76759,17278015,0
SGI.US,D,20050425,000000,4.80342,4.86341,4.76759,4.79859,9329201,0
SGI.US,D,20050426,000000,4.07272,4.62368,4.07272,4.54956,18462637,0
SGI.US,D,20050427,000000,4.54956,4.58307,4.42484,4.57824,12733629,0
SGI.US,D,20050428,000000,4.57824,4.58307,4.49431,4.55654,6348448,0
SGI.US,D,20050429,000000,4.56128,4.59742,4.53986,4.5734,6892756,0
SGI.US,D,20050502,000000,4.57582,4.6357,4.57097,4.6045,3240384,0
SGI.US,D,20050503,000000,4.59742,4.67164,4.58066,4.65721,3698286,0
SGI.US,D,20050504,000000,4.64761,4.80101,4.61165,4.79616,8034383,0
SGI.US,D,20050505,000000,4.79131,4.84887,4.77941,4.84403,5389649,0
SGI.US,D,20050506,000000,4.82028,4.84887,4.80575,4.80819,2991188,0
SGI.US,D,20050509,000000,4.8321,4.84887,4.79131,4.81788,1662977,0
SGI.US,D,20050510,000000,4.70758,4.87058,4.70758,4.80575,5242301,0
SGI.US,D,20050511,000000,4.80575,4.85615,4.80575,4.84161,2227319,0
SGI.US,D,20050512,000000,4.84403,4.86341,4.82726,4.82726,4208784,0
SGI.US,D,20050513,000000,4.82969,4.86584,4.82028,4.84403,2296194,0
SGI.US,D,20050516,000000,4.84403,4.91127,4.83919,4.91127,3390654,0
SGI.US,D,20050517,000000,4.91127,5.01892,4.91127,4.99984,6740400,0
SGI.US,D,20050518,000000,5.03094,5.16264,5.03094,5.15071,5896389,0
SGI.US,D,20050519,000000,5.15071,5.2226,5.09083,5.17476,4556907,0
SGI.US,D,20050520,000000,5.15071,5.16264,5.03094,5.11718,2179318,0
SGI.US,D,20050523,000000,5.12194,5.27057,5.12194,5.20584,4051837,0
SGI.US,D,20050524,000000,5.19867,5.32085,5.12194,5.30168,4387020,0
SGI.US,D,20050525,000000,5.40943,5.51013,5.32571,5.4382,8838740,0
SGI.US,D,20050526,000000,5.47173,5.56515,5.4574,5.55332,8356210,0
SGI.US,D,20050527,000000,5.55332,5.60595,5.52214,5.60595,2256957,0
SGI.US,D,20050531,000000,5.6323,5.73782,5.54615,5.58917,6638132,0
SGI.US,D,20050601,000000,5.59402,5.70419,5.55332,5.61078,6261208,0
SGI.US,D,20050602,000000,5.6131,5.685,5.61078,5.62746,4382428,0
SGI.US,D,20050603,000000,5.66583,5.68985,5.56029,5.56271,2616350,0
SGI.US,D,20050606,000000,5.6036,5.68257,5.48617,5.66107,5938131,0
SGI.US,D,20050607,000000,5.67783,5.69693,5.59635,5.62017,4711351,0
SGI.US,D,20050608,000000,5.62988,5.67542,5.53403,5.61553,4635382,0
SGI.US,D,20050609,000000,5.60595,5.62988,5.50769,5.59635,2706931,0
SGI.US,D,20050610,000000,5.58443,5.64917,5.54374,5.60836,2511997,0
SGI.US,D,20050613,000000,5.70177,5.98916,5.6131,5.79034,11290628,0
SGI.US,D,20050614,000000,5.80719,5.91503,5.75207,5.84304,4686723,0
SGI.US,D,20050615,000000,5.82396,5.9102,5.74964,5.77366,6892338,0
SGI.US,D,20050616,000000,5.80952,5.90537,5.79034,5.9006,3129352,0
SGI.US,D,20050617,000000,5.91747,5.97493,5.74964,5.7665,4443372,0
SGI.US,D,20050620,000000,5.78791,5.94847,5.78791,5.84545,2726129,0
SGI.US,D,20050621,000000,5.879,5.91988,5.80003,5.81197,2627622,0
SGI.US,D,20050622,000000,5.82164,5.84304,5.72329,5.76408,2772879,0
SGI.US,D,20050623,000000,5.78568,5.84065,5.64199,5.64917,2549147,0
SGI.US,D,20050624,000000,5.65138,5.68257,5.20108,5.5292,14092312,0
SGI.US,D,20050627,000000,5.53403,5.57959,5.39033,5.56271,3324285,0
SGI.US,D,20050628,000000,5.57959,5.64674,5.51013,5.57,3415697,0
SGI.US,D,20050629,000000,5.60119,5.62746,5.49102,5.54615,2434776,0
SGI.US,D,20050630,000000,5.54374,5.54615,5.23947,5.31359,10024613,0
SGI.US,D,20050701,000000,5.3664,5.48617,5.35198,5.41912,3275447,0
SGI.US,D,20050705,000000,5.43348,5.43348,5.34722,5.37592,2513667,0
SGI.US,D,20050706,000000,5.3664,5.47173,5.31359,5.41671,4079804,0
SGI.US,D,20050707,000000,5.41912,5.45031,5.28976,5.32329,3535078,0
SGI.US,D,20050708,000000,5.34238,5.35198,4.9232,5.15314,9451920,0
SGI.US,D,20050711,000000,5.15314,5.33531,5.15071,5.3041,4689228,0
SGI.US,D,20050712,000000,5.28017,5.33287,5.17959,5.32813,3058392,0
SGI.US,D,20050713,000000,5.35198,5.42628,5.29927,5.31845,4052671,0
SGI.US,D,20050714,000000,5.31845,5.31845,5.12678,5.14121,3675330,0
