<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SPBX.US,D,20250115,000000,25.08,25.14,25.05,25.1101,6983,0
SPBX.US,D,20250116,000000,25.14,25.14,25.08,25.1034,5596,0
SPBX.US,D,20250117,000000,25.22,25.26,25.2052,25.2052,398,0
SPBX.US,D,20250121,000000,25.2379,25.3004,25.2379,25.3004,1769,0
SPBX.US,D,20250122,000000,25.3998,25.3998,25.35,25.3698,3850,0
SPBX.US,D,20250123,000000,25.365,25.42,25.365,25.4076,5906,0
SPBX.US,D,20250124,000000,25.46,25.46,25.4108,25.4116,67702,0
SPBX.US,D,20250127,000000,25.2447,25.2447,25.2067,25.2418,1990,0
SPBX.US,D,20250128,000000,25.36,25.39,25.345,25.3818,9214,0
SPBX.US,D,20250129,000000,25.33,25.37,25.2945,25.3084,21804,0
SPBX.US,D,20250130,000000,25.35,25.43,25.3272,25.3692,3807,0
SPBX.US,D,20250131,000000,25.4347,25.4347,25.3263,25.3263,4372,0
SPBX.US,D,20250203,000000,25.2485,25.2998,25.22,25.29,8243,0
SPBX.US,D,20250204,000000,25.34,25.34,25.3101,25.3377,6915,0
SPBX.US,D,20250205,000000,25.3799,25.39,25.33,25.3835,2389,0
SPBX.US,D,20250206,000000,25.42,25.45,25.39,25.434,7561,0
SPBX.US,D,20250207,000000,25.5,25.5,25.3353,25.3353,13325,0
SPBX.US,D,20250210,000000,25.45,25.46,25.45,25.46,1200,0
SPBX.US,D,20250211,000000,25.3668,25.4248,25.3668,25.4248,3919,0
SPBX.US,D,20250212,000000,25.42,25.44,25.3965,25.3965,4253,0
SPBX.US,D,20250213,000000,25.46,25.5263,25.4309,25.5263,3967,0
SPBX.US,D,20250214,000000,25.5356,25.5388,25.5356,25.5388,1199,0
SPBX.US,D,20250218,000000,25.5225,25.5562,25.5225,25.5562,6758,0
SPBX.US,D,20250219,000000,25.5397,25.62,25.5305,25.6017,55649,0
SPBX.US,D,20250220,000000,25.61,25.62,25.5137,25.5701,44100,0
SPBX.US,D,20250221,000000,25.57,25.57,25.3567,25.3567,12520,0
SPBX.US,D,20250224,000000,25.323,25.42,25.295,25.37,21757,0
SPBX.US,D,20250225,000000,25.153,25.25,25.13,25.2283,2089,0
SPBX.US,D,20250226,000000,25.24,25.27,25.21,25.2478,5156,0
SPBX.US,D,20250227,000000,25.25,25.25,24.9926,24.9926,2537,0
SPBX.US,D,20250228,000000,25.03,25.2246,24.95,25.2246,7059,0
SPBX.US,D,20250303,000000,25.18,25.18,24.9399,25.04,9095,0
SPBX.US,D,20250304,000000,24.8099,25,24.77,24.8351,4692,0
SPBX.US,D,20250305,000000,24.829,24.99,24.829,24.99,1016,0
SPBX.US,D,20250306,000000,24.8,24.8,24.7401,24.742,1964,0
SPBX.US,D,20250307,000000,24.84,24.84,24.8345,24.8345,6855,0
SPBX.US,D,20250310,000000,24.655,24.655,24.4596,24.4596,1642,0
SPBX.US,D,20250311,000000,24.474,24.48,24.3,24.3796,3535,0
SPBX.US,D,20250312,000000,24.415,24.4497,24.415,24.4497,563,0
SPBX.US,D,20250313,000000,24.3,24.3,24.24,24.2764,704,0
SPBX.US,D,20250314,000000,24.3923,24.5528,24.3923,24.5528,801,0
SPBX.US,D,20250317,000000,24.63,24.65,24.63,24.65,1157,0
SPBX.US,D,20250318,000000,24.44,24.496,24.44,24.496,345,0
SPBX.US,D,20250319,000000,24.59,24.6262,24.55,24.6262,925,0
SPBX.US,D,20250320,000000,24.65,24.6956,24.6006,24.6006,2479,0
SPBX.US,D,20250321,000000,24.52,24.6064,24.49,24.6064,393,0
SPBX.US,D,20250324,000000,24.82,24.8252,24.82,24.8252,347,0
SPBX.US,D,20250325,000000,24.83,24.8308,24.83,24.8308,103,0
SPBX.US,D,20250326,000000,24.785,24.85,24.6888,24.6888,2217,0
SPBX.US,D,20250331,000000,24.47,24.4962,24.46,24.4962,241,0
SPBX.US,D,20250402,000000,24.635,24.6899,24.54,24.6228,6806,0
SPBX.US,D,20250403,000000,24.205,24.205,23.9975,23.9975,5295,0
SPBX.US,D,20250404,000000,23.49,23.5375,23.1036,23.1036,925,0
