<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TFC.US,D,19900326,000000,3.49101,3.49101,3.37299,3.37299,44290.755777582,0
TFC.US,D,19900327,000000,3.37299,3.55394,3.37299,3.49101,10637.341862631,0
TFC.US,D,19900328,000000,3.37299,3.49101,3.37299,3.49101,25307.970449561,0
TFC.US,D,19900329,000000,3.46342,3.46342,3.37299,3.37299,10926.54039856,0
TFC.US,D,19900330,000000,3.37299,3.49101,3.37299,3.49101,12079.203134621,0
TFC.US,D,19900402,000000,3.37299,3.49101,3.37299,3.49101,32499.718326976,0
TFC.US,D,19900403,000000,3.37299,3.49101,3.37299,3.37299,13225.668759198,0
TFC.US,D,19900404,000000,3.49101,3.49101,3.37299,3.37299,19841.085268583,0
TFC.US,D,19900405,000000,3.46342,3.49101,3.37299,3.49101,55214.1976204,0
TFC.US,D,19900406,000000,3.37299,3.49101,3.33852,3.42866,36233.477996207,0
TFC.US,D,19900409,000000,3.31025,3.42866,3.31025,3.31025,19841.085268583,0
TFC.US,D,19900410,000000,3.42866,3.42866,3.2479,3.2479,23293.909217196,0
TFC.US,D,19900411,000000,3.2479,3.2479,3.2479,3.2479,11218.837490231,0
TFC.US,D,19900412,000000,3.2479,3.37299,3.2479,3.31025,31346.022739002,0
TFC.US,D,19900416,000000,3.18497,3.37299,3.18497,3.2479,31636.254126845,0
TFC.US,D,19900417,000000,3.31025,3.31025,3.12262,3.12262,29045.861526449,0
TFC.US,D,19900418,000000,3.12262,3.22011,3.12262,3.12262,27319.965978098,0
TFC.US,D,19900419,000000,3.12262,3.2479,3.12262,3.18497,39113.069132533,0
TFC.US,D,19900420,000000,3.18497,3.22011,3.18497,3.18497,37670.175008628,0
TFC.US,D,19900423,000000,3.18497,3.31025,3.18497,3.31025,10637.341862631,0
TFC.US,D,19900424,000000,3.31025,3.31025,3.31025,3.31025,3163.6254126845,0
TFC.US,D,19900425,000000,3.18497,3.27539,3.18497,3.27539,22140.213629221,0
TFC.US,D,19900426,000000,3.18497,3.18497,3.12262,3.18497,17830.122591959,0
TFC.US,D,19900427,000000,3.06695,3.15728,3.06695,3.06695,17256.889779671,0
TFC.US,D,19900430,000000,3.06695,3.2479,3.06695,3.12262,32499.718326976,0
TFC.US,D,19900501,000000,3.2479,3.2479,3.06695,3.06695,23293.909217196,0
TFC.US,D,19900502,000000,3.06695,3.12262,3.06695,3.12262,31060.955610728,0
TFC.US,D,19900503,000000,3.06695,3.18497,3.06695,3.06695,97202.726481601,0
TFC.US,D,19900504,000000,3.18497,3.18497,3.12262,3.12262,13804.065831057,0
TFC.US,D,19900507,000000,3.18497,3.18497,3.18497,3.18497,10353.307586272,0
TFC.US,D,19900508,000000,3.18497,3.18497,3.18497,3.18497,2013.0283804512,0
TFC.US,D,19900509,000000,3.22011,3.2479,3.12262,3.18497,17539.891204117,0
TFC.US,D,19900510,000000,3.18497,3.2479,3.18497,3.22011,26460.633185623,0
TFC.US,D,19900511,000000,3.2479,3.2479,3.12262,3.12262,64130.80819425,0
TFC.US,D,19900514,000000,3.12262,3.31025,3.12262,3.2479,13804.065831057,0
TFC.US,D,19900515,000000,3.12262,3.2479,3.12262,3.15728,32499.718326976,0
TFC.US,D,19900516,000000,3.12262,3.2479,3.12262,3.2479,9491.9090899674,0
TFC.US,D,19900517,000000,3.12262,3.18497,3.12262,3.12262,48886.946795031,0
TFC.US,D,19900518,000000,3.12262,3.2479,3.12262,3.12262,3451.7910966997,0
TFC.US,D,19900521,000000,3.12262,3.2479,3.12262,3.15728,11497.70750702,0
TFC.US,D,19900522,000000,3.12262,3.18497,3.12262,3.12262,13514.867295127,0
TFC.US,D,19900523,000000,3.12262,3.18497,3.06695,3.18497,18402.322552334,0
TFC.US,D,19900524,000000,3.06695,3.12262,3.06695,3.12262,41700.363177186,0
TFC.US,D,19900525,000000,3.2479,3.2479,3.06695,3.06695,3737.891076887,0
TFC.US,D,19900529,000000,3.06695,3.2479,3.06695,3.12262,19841.085268583,0
TFC.US,D,19900530,000000,3.06695,3.12262,3.06695,3.12262,6899.4507857434,0
TFC.US,D,19900531,000000,3.12262,3.2479,3.06695,3.2479,15241.795695392,0
TFC.US,D,19900601,000000,3.12262,3.12262,3.12262,3.12262,863.46420013197,0
TFC.US,D,19900604,000000,3.2479,3.2479,3.12262,3.12262,2298.0955087244,0
TFC.US,D,19900605,000000,3.12262,3.15728,3.12262,3.12262,13225.668759198,0
TFC.US,D,19900606,000000,3.12262,3.2479,3.12262,3.2479,21569.04652076,0
TFC.US,D,19900607,000000,3.12262,3.2479,3.12262,3.12262,37962.472100299,0
TFC.US,D,19900608,000000,3.12262,3.2479,3.12262,3.12262,62692.045478002,0
TFC.US,D,19900611,000000,3.2479,3.2479,3.12262,3.12262,25881.20326185,0
TFC.US,D,19900612,000000,3.12262,3.18497,3.12262,3.12262,15241.795695392,0
TFC.US,D,19900613,000000,3.12262,3.2479,3.12262,3.18497,42562.794525405,0
TFC.US,D,19900614,000000,3.12262,3.18497,3.12262,3.12262,19841.085268583,0
TFC.US,D,19900615,000000,3.12262,3.18497,3.12262,3.12262,18696.685347834,0
TFC.US,D,19900618,000000,3.12262,3.18497,3.12262,3.18497,7766.0135416175,0
TFC.US,D,19900619,000000,3.15728,3.15728,3.12262,3.12262,21859.277908604,0
TFC.US,D,19900620,000000,3.18497,3.18497,3.06695,3.06695,23007.809237008,0
TFC.US,D,19900621,000000,3.06695,3.18497,3.06695,3.06695,36807.74366041,0
TFC.US,D,19900622,000000,3.06695,3.12262,3.06695,3.06695,40838.964680883,0
TFC.US,D,19900625,000000,3.12262,3.12262,3.06695,3.06695,575.29851611663,0
TFC.US,D,19900626,000000,3.06695,3.06695,3.06695,3.06695,1152.6627360613,0
TFC.US,D,19900627,000000,3.06695,3.09453,2.87911,2.94166,40546.667589211,0
TFC.US,D,19900628,000000,2.94166,2.94166,2.87911,2.94166,21285.012244401,0
TFC.US,D,19900629,000000,2.94166,2.94166,2.75422,2.75422,153860.85107783,0
TFC.US,D,19900702,000000,2.94166,3.06695,2.87911,3.06695,151268.3927736,0
TFC.US,D,19900703,000000,3.12262,3.12262,2.94166,3.06695,118770.74015045,0
TFC.US,D,19900705,000000,3.06695,3.06695,3.0043,3.0043,18120.353979803,0
TFC.US,D,19900706,000000,2.94166,3.0043,2.94166,3.0043,6899.4507857434,0
TFC.US,D,19900709,000000,2.94166,3.0043,2.94166,3.0043,28473.661566074,0
TFC.US,D,19900710,000000,3.03208,3.03208,2.96955,2.96955,14668.562883103,0
TFC.US,D,19900711,000000,3.03208,3.03208,2.907,2.907,66430.969406803,0
TFC.US,D,19900712,000000,3.03208,3.03208,2.907,2.96955,25020.83761746,0
TFC.US,D,19900713,000000,3.09453,3.09453,2.96955,2.96955,3163.6254126845,0
TFC.US,D,19900716,000000,2.96955,3.09453,2.96955,2.96955,21569.04652076,0
TFC.US,D,19900717,000000,2.96955,2.96955,2.907,2.93498,19559.116696052,0
TFC.US,D,19900718,000000,2.907,2.907,2.84435,2.84435,5171.4895335654,0
TFC.US,D,19900719,000000,2.84435,3.03208,2.84435,2.84435,15819.159915336,0
TFC.US,D,19900720,000000,2.84435,2.96955,2.84435,2.96955,3737.891076887,0
TFC.US,D,19900723,000000,2.84435,2.96955,2.84435,2.84435,15241.795695392,0
TFC.US,D,19900724,000000,2.907,2.96955,2.84435,2.84435,45151.121421972,0
TFC.US,D,19900725,000000,2.96955,2.96955,2.84435,2.84435,6612.3179536421,0
TFC.US,D,19900726,000000,2.93498,2.96955,2.84435,2.84435,25020.83761746,0
TFC.US,D,19900727,000000,2.907,2.907,2.84435,2.907,46297.587046549,0
TFC.US,D,19900730,000000,2.907,2.907,2.84435,2.84435,20994.780856558,0
TFC.US,D,19900731,000000,2.84435,2.907,2.84435,2.907,22432.510720893,0
TFC.US,D,19900801,000000,2.84435,2.907,2.84435,2.87243,41986.463157373,0
TFC.US,D,19900802,000000,2.84435,2.907,2.84435,2.87243,16677.459855898,0
TFC.US,D,19900803,000000,2.87243,2.907,2.84435,2.84435,14668.562883103,0
TFC.US,D,19900806,000000,2.84435,2.84435,2.71936,2.84435,64706.106710367,0
TFC.US,D,19900807,000000,2.78191,2.84435,2.71936,2.84435,39689.400500563,0
TFC.US,D,19900808,000000,2.71936,2.87243,2.71936,2.87243,155292.38383066,0
TFC.US,D,19900809,000000,2.78191,2.907,2.78191,2.907,33936.415339397,0
TFC.US,D,19900810,000000,2.84435,2.907,2.84435,2.907,36520.610828309,0
TFC.US,D,19900813,000000,2.84435,2.84435,2.84435,2.84435,3737.891076887,0
TFC.US,D,19900814,000000,2.84435,2.84435,2.84435,2.84435,10063.076198428,0
TFC.US,D,19900815,000000,2.907,2.907,2.87243,2.87243,8916.6105738507,0
TFC.US,D,19900816,000000,2.78191,2.84435,2.78191,2.84435,7477.8478576021,0
TFC.US,D,19900817,000000,2.87243,2.87243,2.78191,2.87243,29623.225746392,0
TFC.US,D,19900820,000000,2.84435,2.84435,2.84435,2.84435,21285.012244401,0
TFC.US,D,19900821,000000,2.84435,2.84435,2.65643,2.84435,91736.874152537,0
