<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TG.US,D,20050225,000000,8.52647,8.84431,8.52647,8.83967,175096.64549547,0
TG.US,D,20050228,000000,8.83967,8.84431,8.63355,8.84431,202288.51205759,0
TG.US,D,20050301,000000,8.89364,9.11358,8.88157,9.07863,148874.25240695,0
TG.US,D,20050302,000000,9.00197,9.11358,8.88157,8.90997,125989.08531404,0
TG.US,D,20050303,000000,8.90997,8.96519,8.77102,8.93612,217148.59317467,0
TG.US,D,20050304,000000,8.96982,9.18744,8.84431,9.0738,70428.726264592,0
TG.US,D,20050307,000000,8.81689,9.19806,8.81689,9.06916,118161.82992952,0
TG.US,D,20050308,000000,9.04831,9.09822,8.94646,8.99618,170597.29424625,0
TG.US,D,20050309,000000,8.89364,9.11928,8.84431,9.0738,196417.81157863,0
TG.US,D,20050310,000000,9.02186,9.09349,8.94646,9.01047,167654.69367096,0
TG.US,D,20050311,000000,8.94646,9.04831,8.94646,9.02842,155915.36423756,0
TG.US,D,20050314,000000,9.02842,9.11358,9.00564,9.07863,142026.82811858,0
TG.US,D,20050315,000000,9.14892,9.30427,9.11928,9.12497,123055.80659907,0
TG.US,D,20050316,000000,9.11928,9.11928,8.9202,9.00564,133618.51010726,0
TG.US,D,20050317,000000,9.04831,9.15944,8.92579,9.13453,112881.51393768,0
TG.US,D,20050318,000000,9.22219,9.22219,8.94646,8.95948,559313.69090301,0
TG.US,D,20050321,000000,8.89364,9.03692,8.89364,9.00564,174502.11795932,0
TG.US,D,20050322,000000,8.96982,9.05681,8.84904,8.85454,128929.61436481,0
TG.US,D,20050323,000000,8.80289,8.81226,8.68027,8.7464,135571.95772606,0
TG.US,D,20050324,000000,8.78541,8.81226,8.68027,8.73144,140662.72922466,0
TG.US,D,20050328,000000,8.72044,8.79198,8.53614,8.54723,120318.2869509,0
TG.US,D,20050329,000000,8.55235,8.73598,8.41352,8.43418,171377.2232266,0
TG.US,D,20050330,000000,8.44992,8.71589,8.44992,8.71589,114831.8542697,0
TG.US,D,20050331,000000,8.6544,8.73144,8.53082,8.6179,164133.10199339,0
TG.US,D,20050401,000000,8.56211,8.74119,8.45899,8.56211,179390.91581759,0
TG.US,D,20050404,000000,8.56211,8.7554,8.41352,8.73144,159825.36676192,0
TG.US,D,20050405,000000,8.79198,8.88157,8.72488,8.80289,142810.90014797,0
TG.US,D,20050406,000000,8.88157,8.99618,8.81689,8.81689,167852.52426226,0
TG.US,D,20050407,000000,8.86024,9.05208,8.76524,8.93612,85099.262888439,0
TG.US,D,20050408,000000,9.00197,9.00197,8.78097,8.79198,119525.92882345,0
TG.US,D,20050411,000000,8.81689,8.89364,8.68027,8.68867,198369.18767291,0
TG.US,D,20050412,000000,8.63866,8.97552,8.58798,8.97552,198369.18767291,0
TG.US,D,20050413,000000,8.89925,8.9202,8.82335,8.82703,303627.4913909,0
TG.US,D,20050414,000000,8.84431,8.88157,8.80289,8.80772,313008.39016259,0
TG.US,D,20050415,000000,8.81226,8.81226,8.51016,8.51479,196417.81157863,0
TG.US,D,20050418,000000,8.58798,8.81689,8.49065,8.7523,145943.0452165,0
TG.US,D,20050419,000000,8.7523,8.9202,8.67496,8.76524,314970.12387946,0
TG.US,D,20050420,000000,8.7607,8.84431,8.6179,8.6179,223016.18636685,0
TG.US,D,20050421,000000,8.68867,8.87597,8.67042,8.7554,257646.8974667,0
TG.US,D,20050422,000000,8.72044,8.76524,8.39343,8.49065,286993.14952569,0
TG.US,D,20050425,000000,8.49596,8.71068,8.33251,8.69968,231239.10293398,0
TG.US,D,20050426,000000,8.61259,8.61259,8.28115,8.35713,266642.49267837,0
TG.US,D,20050427,000000,8.30509,8.55235,8.23509,8.38301,229862.57489295,0
TG.US,D,20050428,000000,8.32209,8.41352,8.18837,8.31678,279166.92990342,0
TG.US,D,20050429,000000,8.34158,8.42857,8.22476,8.31107,207176.27415359,0
TG.US,D,20050502,000000,8.2852,8.35713,8.08197,8.2656,115032.79214777,0
TG.US,D,20050503,000000,8.23056,8.30509,8.04577,8.15264,308319.49442014,0
TG.US,D,20050504,000000,8.18837,8.30509,7.97944,8.30509,298730.40743457,0
TG.US,D,20050505,000000,8.27545,8.30133,8.1008,8.13845,232808.28275502,0
TG.US,D,20050506,000000,8.17784,8.23509,8.03003,8.14299,172741.32212054,0
TG.US,D,20050509,000000,8.14299,8.22476,8.09694,8.18837,80987.286723748,0
TG.US,D,20050510,000000,8.17784,8.17784,7.90162,7.92238,172551.7776273,0
TG.US,D,20050511,000000,7.95347,8.07097,7.73362,7.84196,216176.01241431,0
TG.US,D,20050512,000000,7.84765,7.94903,7.6784,7.70235,145166.22352291,0
TG.US,D,20050513,000000,7.74463,7.75497,7.41116,7.54286,132829.25926659,0
TG.US,D,20050516,000000,7.56554,7.86281,7.56554,7.86281,126184.84438082,0
TG.US,D,20050517,000000,7.83655,7.97944,7.6843,7.94903,84711.887803906,0
TG.US,D,20050518,000000,8.02414,8.17283,8.01912,8.11768,143590.82912833,0
