<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TUYA.US,D,20210318,000000,27,27.65,23.98,25,27151700,0
TUYA.US,D,20210319,000000,25.3,25.86,24.68,25.12,4273511,0
TUYA.US,D,20210322,000000,24.71,25,21.14,23.19,5118109,0
TUYA.US,D,20210323,000000,23,23.09,20.9,21,5339401,0
TUYA.US,D,20210324,000000,21,21.27,18.51,19.28,6340735,0
TUYA.US,D,20210325,000000,18.8,20.25,17.585,19.15,3407156,0
TUYA.US,D,20210326,000000,20,24.65,19.11,24.64,3845253,0
TUYA.US,D,20210329,000000,23,23.01,20.12,20.25,3954826,0
TUYA.US,D,20210330,000000,20.26,21.01,19.76,20.38,1375986,0
TUYA.US,D,20210331,000000,20.46,22.965,20.45,21.14,1864581,0
TUYA.US,D,20210401,000000,21.99,24,21.67,23.34,2112966,0
TUYA.US,D,20210405,000000,22.99,23.155,20.05,20.07,907412,0
TUYA.US,D,20210406,000000,20.55,21.55,20.19,20.43,385954,0
TUYA.US,D,20210407,000000,20.58,21.76,20.3,21,481454,0
TUYA.US,D,20210408,000000,21.34,22.64,21.01,22.21,460269,0
TUYA.US,D,20210409,000000,22.07,22.64,21.6215,22.27,774087,0
TUYA.US,D,20210412,000000,22.11,22.18,19.01,19.31,1963886,0
TUYA.US,D,20210413,000000,20,20.52,18.85,19.01,1023703,0
TUYA.US,D,20210414,000000,19.05,19.16,17.1,17.76,1836993,0
TUYA.US,D,20210415,000000,17.81,18.96,17.51,17.61,819754,0
TUYA.US,D,20210416,000000,17.97,20.5,17.9101,20.28,1969063,0
TUYA.US,D,20210419,000000,20.4,20.5,18,18,1314107,0
TUYA.US,D,20210420,000000,18.4,18.47,17.61,17.77,1018365,0
TUYA.US,D,20210421,000000,17.67,18.08,17.42,17.68,642513,0
TUYA.US,D,20210422,000000,17.75,18.61,17.39,17.43,1264708,0
TUYA.US,D,20210423,000000,17.95,20.59,17.68,20.27,1104367,0
TUYA.US,D,20210426,000000,19.75,20.67,19.26,20.35,505611,0
TUYA.US,D,20210427,000000,20.36,20.8999,19.72,19.96,543913,0
TUYA.US,D,20210428,000000,20.25,20.8,19.96,20.72,561591,0
TUYA.US,D,20210429,000000,21,21,19.9335,20.2,547496,0
TUYA.US,D,20210430,000000,19.99,20.2,19.38,19.39,486051,0
TUYA.US,D,20210503,000000,19.3,19.93,18.97,19.85,192205,0
TUYA.US,D,20210504,000000,19.4,19.86,18.88,19.78,282077,0
TUYA.US,D,20210505,000000,19.52,19.52,18.365,18.68,138477,0
TUYA.US,D,20210506,000000,18.5,18.61,17.58,18,567429,0
TUYA.US,D,20210507,000000,18.02,18.51,17.41,17.41,523659,0
TUYA.US,D,20210510,000000,17.86,17.86,16.37,16.48,896397,0
TUYA.US,D,20210511,000000,16.08,17.21,15.7,16.94,743056,0
