<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UHT.US,D,20050225,000000,17.0519,17.3213,17.0213,17.3213,35862.786337408,0
UHT.US,D,20050228,000000,17.2657,17.3691,17.1285,17.1822,68761.266254153,0
UHT.US,D,20050301,000000,17.2129,17.5148,17.2129,17.4832,32020.978438471,0
UHT.US,D,20050302,000000,17.5407,17.5579,17.4411,17.5062,29914.34884913,0
UHT.US,D,20050303,000000,17.5465,17.7765,17.4304,17.7708,41293.696199972,0
UHT.US,D,20050304,000000,17.8013,17.9345,17.7812,17.9039,29044.151188155,0
UHT.US,D,20050307,000000,17.9461,18.2901,17.9345,18.0869,34469.844038364,0
UHT.US,D,20050308,000000,18.0477,18.1196,17.8982,17.8982,38143.664139438,0
UHT.US,D,20050309,000000,18.0324,18.0324,17.4832,17.4832,51618.163652437,0
UHT.US,D,20050310,000000,17.4832,17.65,17.2992,17.3126,30792.893729876,0
UHT.US,D,20050311,000000,17.3173,17.4899,17.2657,17.3213,37270.336271048,0
UHT.US,D,20050314,000000,16.8851,17.1161,16.8851,17.0126,28869.902975465,0
UHT.US,D,20050315,000000,17.0902,17.2945,17.0079,17.0327,34469.844038364,0
UHT.US,D,20050316,000000,16.9168,17.0079,16.7472,16.774,15399.577072351,0
UHT.US,D,20050317,000000,16.7472,16.935,16.7156,16.7472,26422.080778044,0
UHT.US,D,20050318,000000,16.774,16.8439,16.5209,16.8392,102711.49586186,0
UHT.US,D,20050321,000000,16.8392,16.8392,16.474,16.5976,32541.636271597,0
UHT.US,D,20050322,000000,16.612,16.6312,16.1165,16.1845,38843.787197608,0
UHT.US,D,20050323,000000,16.1462,16.1462,15.8894,16.0361,55290.940351039,0
UHT.US,D,20050324,000000,16.0887,16.2152,16.0887,16.1462,23093.626894936,0
UHT.US,D,20050328,000000,16.2593,16.2966,16.0656,16.0715,24670.20802891,0
UHT.US,D,20050329,000000,16.0656,16.3379,16.0034,16.0715,27468.613456652,0
UHT.US,D,20050330,000000,16.1462,16.2037,16.0715,16.2037,34649.309263408,0
UHT.US,D,20050331,000000,16.2909,16.2909,16.0715,16.1462,39543.91025578,0
UHT.US,D,20050401,000000,16.2037,16.2488,15.6374,15.6976,91330.061706077,0
UHT.US,D,20050404,000000,15.6814,16.173,15.6814,16.0954,37270.336271048,0
UHT.US,D,20050405,000000,16.1462,16.198,16.0609,16.1519,17847.399269772,0
UHT.US,D,20050406,000000,16.1845,16.2219,16.0532,16.1693,33243.846134711,0
UHT.US,D,20050407,000000,16.1165,16.2421,16.0034,16.1903,51968.746882758,0
UHT.US,D,20050408,000000,16.2325,16.2325,16.0609,16.0763,40945.199774594,0
UHT.US,D,20050411,000000,16.0609,16.2037,15.8711,16.1165,30974.445759864,0
UHT.US,D,20050412,000000,16.1165,16.2325,16.0609,16.2085,71211.175256516,0
UHT.US,D,20050413,000000,16.2325,16.3495,16.1519,16.3427,60363.963165984,0
UHT.US,D,20050414,000000,16.3427,16.6609,16.2966,16.3887,38314.782144713,0
UHT.US,D,20050415,000000,16.3887,16.7097,16.2909,16.428,51442.872037274,0
UHT.US,D,20050418,000000,16.5161,16.6609,16.3762,16.5774,64039.870072,0
UHT.US,D,20050419,000000,16.6359,16.8133,16.6273,16.8065,56517.981657163,0
UHT.US,D,20050420,000000,16.7634,16.82,16.5613,16.774,54413.438872764,0
UHT.US,D,20050421,000000,16.8334,16.8603,16.5161,16.796,44792.224685885,0
UHT.US,D,20050422,000000,16.9168,17.812,16.9129,17.7036,211020.84598168,0
UHT.US,D,20050425,000000,17.716,17.9241,17.6432,17.8857,93607.809300694,0
UHT.US,D,20050426,000000,18.2901,18.7205,18.1474,18.5125,207515.01367846,0
UHT.US,D,20050427,000000,18.4598,18.8604,18.4425,18.6045,124575.99464574,0
UHT.US,D,20050428,000000,18.661,18.9342,18.6045,18.7147,98686.049127995,0
UHT.US,D,20050429,000000,18.7731,18.7808,18.5757,18.7147,61237.291034373,0
UHT.US,D,20050502,000000,18.7731,18.8921,18.5326,18.8268,96235.096723161,0
UHT.US,D,20050503,000000,18.917,19.2898,18.7731,19.216,109355.88279843,0
UHT.US,D,20050504,000000,19.145,19.3185,19.0856,19.2093,56865.43468007,0
UHT.US,D,20050505,000000,19.2955,19.3118,18.9218,19.124,84684.631367044,0
UHT.US,D,20050506,000000,19.124,19.2208,18.754,19.145,50738.575369219,0
