<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VVR.US,D,20050225,000000,3.78651,3.80423,3.77375,3.79557,806416.1097308,0
VVR.US,D,20050228,000000,3.79976,3.81711,3.78651,3.79557,960351.22837178,0
VVR.US,D,20050301,000000,3.77375,3.82587,3.77375,3.81711,866150.39296454,0
VVR.US,D,20050302,000000,3.81711,3.82587,3.79557,3.79976,796764.90553577,0
VVR.US,D,20050303,000000,3.80423,3.82587,3.80423,3.81711,661691.86114727,0
VVR.US,D,20050304,000000,3.81711,3.83919,3.8129,3.83455,830775.78855198,0
VVR.US,D,20050307,000000,3.83035,3.8477,3.82587,3.83035,861335.19677324,0
VVR.US,D,20050308,000000,3.83035,3.86066,3.83035,3.84348,828923.53724184,0
VVR.US,D,20050309,000000,3.83455,3.84348,3.81711,3.82158,610904.46656014,0
VVR.US,D,20050310,000000,3.8129,3.83455,3.80423,3.81711,753347.08328143,0
VVR.US,D,20050311,000000,3.75584,3.7909,3.74343,3.74343,1227774.2557903,0
VVR.US,D,20050314,000000,3.73019,3.76077,3.71722,3.71722,1379405.8353979,0
VVR.US,D,20050315,000000,3.72582,3.73886,3.70382,3.71722,706479.97694921,0
VVR.US,D,20050316,000000,3.71722,3.74343,3.70382,3.72098,1036169.756572,0
VVR.US,D,20050317,000000,3.6998,3.72582,3.6998,3.6998,841119.25935142,0
VVR.US,D,20050318,000000,3.68674,3.72098,3.6431,3.6473,1236971.9815453,0
VVR.US,D,20050321,000000,3.6473,3.68208,3.63853,3.65187,908420.27945714,0
VVR.US,D,20050322,000000,3.6431,3.67331,3.6128,3.61689,870977.63809986,0
VVR.US,D,20050323,000000,3.6128,3.65187,3.56926,3.60365,1339662.9410834,0
VVR.US,D,20050324,000000,3.59098,3.72098,3.58668,3.65187,859032.75309853,0
VVR.US,D,20050328,000000,3.621,3.66967,3.56926,3.59098,1197666.1352922,0
VVR.US,D,20050329,000000,3.59098,3.66967,3.59098,3.66062,730150.67524166,0
VVR.US,D,20050330,000000,3.66967,3.73886,3.6473,3.72582,696378.5803896,0
VVR.US,D,20050331,000000,3.73439,3.73439,3.67789,3.69515,842021.83479766,0
VVR.US,D,20050401,000000,3.72582,3.72582,3.69093,3.70382,579886.10310592,0
VVR.US,D,20050404,000000,3.6998,3.70837,3.66967,3.68674,565868.79972562,0
VVR.US,D,20050405,000000,3.66967,3.70382,3.66463,3.68674,765055.37083571,0
VVR.US,D,20050406,000000,3.69515,3.73019,3.69093,3.72098,604695.97429168,0
VVR.US,D,20050407,000000,3.72582,3.73886,3.70837,3.73439,607914.13771524,0
VVR.US,D,20050408,000000,3.70837,3.74343,3.6998,3.71276,559885.95131869,0
VVR.US,D,20050411,000000,3.68208,3.72098,3.67789,3.71722,927724.87856433,0
VVR.US,D,20050412,000000,3.69515,3.6998,3.66463,3.68208,633869.75394557,0
VVR.US,D,20050413,000000,3.25601,3.66967,3.25601,3.6431,740939.95697144,0
VVR.US,D,20050414,000000,3.62612,3.6473,3.62612,3.63005,564480.98044119,0
VVR.US,D,20050415,000000,3.61689,3.63005,3.59517,3.63005,855579.08758644,0
VVR.US,D,20050418,000000,3.63425,3.67789,3.61689,3.6473,792173.16248894,0
VVR.US,D,20050419,000000,3.63005,3.65634,3.63005,3.6431,716361.20644001,0
VVR.US,D,20050420,000000,3.63425,3.66463,3.6128,3.621,911881.61247909,0
VVR.US,D,20050421,000000,3.621,3.65187,3.621,3.65187,650416.24022072,0
VVR.US,D,20050422,000000,3.6473,3.66967,3.62612,3.63005,621245.74664247,0
VVR.US,D,20050425,000000,3.63005,3.65187,3.62612,3.63005,518539.45208476,0
VVR.US,D,20050426,000000,3.62612,3.63853,3.61689,3.62612,775177.57920778,0
VVR.US,D,20050427,000000,3.63425,3.63425,3.60365,3.6128,714743.36185983,0
VVR.US,D,20050428,000000,3.60833,3.63005,3.60365,3.60365,780218.41926062,0
VVR.US,D,20050429,000000,3.59927,3.621,3.59927,3.621,672466.90321588,0
VVR.US,D,20050502,000000,3.60833,3.63005,3.60365,3.63005,587464.888922,0
VVR.US,D,20050503,000000,3.62612,3.63425,3.60833,3.621,571156.09545249,0
VVR.US,D,20050504,000000,3.60833,3.63425,3.60833,3.63005,597591.47872827,0
VVR.US,D,20050505,000000,3.63005,3.63425,3.6128,3.621,613881.65110243,0
VVR.US,D,20050506,000000,3.60365,3.61689,3.59517,3.60833,591366.55608154,0
VVR.US,D,20050509,000000,3.59517,3.60365,3.56926,3.56926,1038009.9589381,0
VVR.US,D,20050510,000000,3.56926,3.58212,3.56469,3.57791,542435.79423879,0
VVR.US,D,20050511,000000,3.56926,3.57791,3.53875,3.55172,667192.75179162,0
VVR.US,D,20050512,000000,3.55172,3.56056,3.52543,3.5299,859255.11088441,0
VVR.US,D,20050513,000000,3.54286,3.54762,3.52543,3.53445,610215.48603142,0
VVR.US,D,20050516,000000,3.52543,3.53875,3.50379,3.5299,720501.66176374,0
VVR.US,D,20050517,000000,3.5171,3.53445,3.51229,3.52543,1018699.8830382,0
VVR.US,D,20050518,000000,3.5171,3.53445,3.50379,3.5171,1152660.0431387,0
VVR.US,D,20050519,000000,3.49539,3.50379,3.4429,3.46479,2227647.1160496,0
VVR.US,D,20050520,000000,3.46479,3.48207,3.45596,3.46052,1607784.8072576,0
VVR.US,D,20050523,000000,3.4429,3.46052,3.41659,3.44737,1332774.2311545,0
VVR.US,D,20050524,000000,3.4429,3.46052,3.43011,3.43394,1236281.9056579,0
VVR.US,D,20050525,000000,3.43011,3.46052,3.42144,3.42144,1542763.2282969,0
VVR.US,D,20050526,000000,3.41257,3.43394,3.40811,3.43011,1208707.3494888,0
VVR.US,D,20050527,000000,3.4429,3.48635,3.43851,3.47748,1502090.374572,0
VVR.US,D,20050531,000000,3.49539,3.5213,3.48635,3.5171,889126.63393548,0
VVR.US,D,20050601,000000,3.5171,3.52543,3.50825,3.51229,1030892.3190721,0
VVR.US,D,20050602,000000,3.51229,3.5171,3.50379,3.50825,730360.98408352,0
VVR.US,D,20050603,000000,3.49539,3.50379,3.48207,3.49073,1287050.6791495,0
VVR.US,D,20050606,000000,3.48635,3.49911,3.47318,3.48207,845687.99986866,0
VVR.US,D,20050607,000000,3.48207,3.49539,3.47748,3.48207,893258.32639079,0
VVR.US,D,20050608,000000,3.49073,3.49911,3.47748,3.48207,769882.61597106,0
VVR.US,D,20050609,000000,3.47748,3.49073,3.47318,3.47748,918312.46253345,0
VVR.US,D,20050610,000000,3.47748,3.49911,3.47318,3.48635,1071780.9584316,0
VVR.US,D,20050613,000000,3.46052,3.48207,3.46052,3.46908,764827.53625704,0
VVR.US,D,20050614,000000,3.45129,3.47748,3.45129,3.46908,925433.38847512,0
VVR.US,D,20050615,000000,3.46908,3.47318,3.45129,3.45596,925433.38847512,0
VVR.US,D,20050616,000000,3.44737,3.45129,3.41659,3.43851,1461433.9512254,0
VVR.US,D,20050617,000000,3.43394,3.45596,3.43011,3.45129,1279705.204705,0
VVR.US,D,20050620,000000,3.43394,3.45129,3.43394,3.43851,1128522.7221033,0
VVR.US,D,20050621,000000,3.43011,3.45129,3.43011,3.43851,1361484.6741412,0
VVR.US,D,20050622,000000,3.43394,3.4429,3.42144,3.43011,1387687.8414041,0
VVR.US,D,20050623,000000,3.42536,3.43394,3.41257,3.41659,1124848.8895224,0
VVR.US,D,20050624,000000,3.40811,3.43011,3.40811,3.41659,959423.45967887,0
VVR.US,D,20050627,000000,3.42536,3.43851,3.41659,3.43394,947030.57303006,0
VVR.US,D,20050628,000000,3.42536,3.46052,3.42536,3.46052,818132.06479495,0
VVR.US,D,20050629,000000,3.46052,3.48635,3.44737,3.48207,1036169.756572,0
VVR.US,D,20050630,000000,3.47318,3.5171,3.47318,3.50379,1386762.2634281,0
VVR.US,D,20050701,000000,3.50379,3.53445,3.50379,3.52543,829159.03933035,0
VVR.US,D,20050705,000000,3.52543,3.53445,3.50379,3.5213,965876.21690428,0
VVR.US,D,20050706,000000,3.51229,3.5299,3.50825,3.52543,749668.86926634,0
VVR.US,D,20050707,000000,3.52543,3.53445,3.50379,3.53445,694537.28266497,0
VVR.US,D,20050708,000000,3.53875,3.55172,3.52543,3.54762,635942.17232455,0
VVR.US,D,20050711,000000,3.5299,3.55581,3.52543,3.55172,674315.86845038,0
VVR.US,D,20050712,000000,3.53445,3.56469,3.52543,3.54762,926117.98756965,0
VVR.US,D,20050713,000000,3.53875,3.53875,3.49539,3.50825,819280.00055667,0
VVR.US,D,20050714,000000,3.50825,3.53445,3.50825,3.5299,698895.71434037,0
VVR.US,D,20050715,000000,3.5171,3.5299,3.50825,3.5299,725082.45122505,0
VVR.US,D,20050718,000000,3.5299,3.53445,3.50825,3.51229,611585.77957901,0
VVR.US,D,20050719,000000,3.50825,3.53875,3.50825,3.52543,674766.06081496,0
VVR.US,D,20050720,000000,3.5171,3.53445,3.51229,3.5299,693611.70468916,0
VVR.US,D,20050721,000000,3.51229,3.5299,3.51229,3.52543,676145.11723097,0
VVR.US,D,20050722,000000,3.5171,3.5299,3.5171,3.5213,425953.17518204,0
VVR.US,D,20050725,000000,3.5213,3.5299,3.51229,3.52543,736572.76242765,0
VVR.US,D,20050726,000000,3.52543,3.5299,3.5171,3.52543,657537.16616238,0
VVR.US,D,20050727,000000,3.5213,3.53445,3.5171,3.5299,762536.04616783,0
VVR.US,D,20050728,000000,3.5299,3.54286,3.5213,3.53445,619866.69022644,0
VVR.US,D,20050729,000000,3.5299,3.54286,3.5213,3.54286,874658.04283206,0
VVR.US,D,20050801,000000,3.54286,3.54762,3.53445,3.54286,856048.9964049,0
VVR.US,D,20050802,000000,3.54286,3.55172,3.5299,3.54762,1208249.4896142,0
VVR.US,D,20050803,000000,3.55172,3.55581,3.53445,3.54286,763683.98192955,0
VVR.US,D,20050804,000000,3.53875,3.55581,3.53875,3.55581,775177.57920778,0
VVR.US,D,20050805,000000,3.54762,3.57344,3.54762,3.56926,766905.43142877,0
VVR.US,D,20050808,000000,3.57344,3.57791,3.55581,3.56926,597809.45507998,0
VVR.US,D,20050809,000000,3.56926,3.57791,3.55172,3.56469,944505.77156943,0
VVR.US,D,20050810,000000,3.56469,3.57791,3.56056,3.57791,681205.67373775,0
VVR.US,D,20050811,000000,3.55581,3.56926,3.53875,3.56926,821820.137037,0
VVR.US,D,20050812,000000,3.56926,3.56926,3.53875,3.54762,750810.23287676,0
VVR.US,D,20050815,000000,3.54762,3.55172,3.53445,3.54286,547249.89507152,0
VVR.US,D,20050816,000000,3.5299,3.54286,3.5171,3.5171,919236.94515072,0
VVR.US,D,20050817,000000,3.50825,3.51229,3.49539,3.49911,1088320.8725555,0
VVR.US,D,20050818,000000,3.50825,3.50825,3.48635,3.48635,819971.17180248,0
