<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WD.US,D,20101217,000000,8.91603,8.9722,8.88137,8.89001,146125.72921,0
WD.US,D,20101220,000000,8.9722,8.9722,8.8092,8.90749,405870.17810032,0
WD.US,D,20101221,000000,8.96268,8.96268,8.85447,8.89924,201740.00835833,0
WD.US,D,20101222,000000,8.85447,8.9344,8.76423,8.89001,114991.50943114,0
WD.US,D,20101223,000000,8.9344,8.9344,8.85447,8.89001,185858.21595184,0
WD.US,D,20101227,000000,8.84543,8.88137,8.74606,8.77335,162886.39220621,0
WD.US,D,20101228,000000,8.8092,8.94391,8.80007,8.94391,360026.33283129,0
WD.US,D,20101229,000000,8.89924,9.04349,8.86379,8.98899,192453.30973988,0
WD.US,D,20101230,000000,8.85447,9.07972,8.82785,9.07972,69976.633640723,0
WD.US,D,20101231,000000,9.02455,9.07972,9.00607,9.07,35241.386741041,0
WD.US,D,20110103,000000,9.03407,9.06067,8.9722,8.98899,88349.408043125,0
WD.US,D,20110104,000000,8.98899,9.07,8.98899,8.98899,203910.19749705,0
WD.US,D,20110105,000000,9.03407,9.36478,8.98899,9.29477,132440.60408281,0
WD.US,D,20110106,000000,9.41191,9.41191,9.15848,9.17664,99647.426956726,0
WD.US,D,20110107,000000,9.1518,9.27788,9.03407,9.09681,58083.874953773,0
WD.US,D,20110110,000000,9.07972,9.27788,9.04349,9.24076,83071.092554646,0
WD.US,D,20110111,000000,9.1518,9.31234,9.1518,9.25942,100284.93911104,0
WD.US,D,20110112,000000,9.17664,9.29477,9.168,9.17664,292278.95495061,0
WD.US,D,20110113,000000,9.168,9.51698,9.168,9.50913,332606.18146581,0
WD.US,D,20110114,000000,9.41879,9.60045,9.30459,9.56314,168276.73059721,0
WD.US,D,20110118,000000,9.55528,9.6741,9.48556,9.56314,305638.19527048,0
WD.US,D,20110119,000000,9.53662,9.72417,9.36478,9.50324,337031.08611512,0
WD.US,D,20110120,000000,9.4669,9.56314,9.40308,9.5268,257762.66190584,0
WD.US,D,20110121,000000,9.6191,10.007,9.61027,9.69766,358257.38936158,0
WD.US,D,20110124,000000,9.89502,10.2043,9.80862,10.0668,431455.19064461,0
WD.US,D,20110125,000000,9.99715,10.281,9.98831,10.0492,433692.59352483,0
WD.US,D,20110126,000000,10.1121,10.1395,9.86165,10.1307,117286.96054267,0
WD.US,D,20110127,000000,10.0835,10.167,9.96866,10.0492,118388.85854741,0
WD.US,D,20110128,000000,10.0581,10.0668,9.91369,10.0228,96244.985890353,0
WD.US,D,20110131,000000,10.0934,11.1097,10.007,10.7857,128700.05752886,0
WD.US,D,20110201,000000,10.7857,10.8317,10.662,10.7954,97955.881128757,0
WD.US,D,20110202,000000,10.875,11.4494,10.7513,11.1009,253650.40299354,0
WD.US,D,20110203,000000,11.2001,11.3709,11.0292,11.1921,100220.7805396,0
WD.US,D,20110204,000000,11.1921,11.3788,10.7954,11.1009,59427.131393925,0
WD.US,D,20110207,000000,11.2275,11.2275,10.7857,10.9399,126973.88644011,0
WD.US,D,20110208,000000,10.9949,11.147,10.9113,10.9299,85438.849357794,0
WD.US,D,20110209,000000,10.8839,10.9762,10.7061,10.7857,113418.09684583,0
WD.US,D,20110210,000000,10.6963,10.9202,10.6963,10.8053,45863.194679463,0
WD.US,D,20110211,000000,10.875,11.2354,10.7954,11.1824,97325.497704607,0
WD.US,D,20110214,000000,11.1195,11.1195,10.8574,10.9399,20216.060343777,0
WD.US,D,20110215,000000,10.8839,11.0734,10.8417,11.0734,27310.165243015,0
WD.US,D,20110216,000000,11.0026,11.2451,11.0026,11.2451,106786.34101696,0
WD.US,D,20110218,000000,11.1824,11.2904,11.0734,11.2177,20925.878189711,0
WD.US,D,20110222,000000,11.1294,11.1391,10.9595,11.1391,9743.9557387166,0
WD.US,D,20110223,000000,11.1195,11.1195,10.823,11.0026,102208.67786422,0
WD.US,D,20110224,000000,11.1097,11.2521,10.9496,11.147,16130.279572066,0
WD.US,D,20110225,000000,11.1824,11.2177,10.9299,11.0213,34398.159802115,0
WD.US,D,20110228,000000,11.0469,11.0469,10.8504,10.9762,40385.274746504,0
WD.US,D,20110301,000000,10.9762,11.2717,10.9762,11.1558,64299.109263283,0
WD.US,D,20110302,000000,11.1558,11.3973,11.1097,11.3179,70545.913663502,0
WD.US,D,20110303,000000,11.2354,11.4072,11.2177,11.2619,62579.048514675,0
WD.US,D,20110304,000000,11.2354,11.2619,11.0636,11.2354,112373.22868237,0
WD.US,D,20110307,000000,11.2354,11.2354,11.1009,11.2354,39447.33753545,0
WD.US,D,20110308,000000,11.1725,11.2354,11.1725,11.2354,33716.856876822,0
WD.US,D,20110309,000000,11.1391,11.2354,11.1391,11.2275,12002.744809419,0
WD.US,D,20110310,000000,11.147,11.147,10.8937,11.147,63471.158174698,0
WD.US,D,20110311,000000,11.147,11.147,11.1009,11.1294,37253.725426211,0
WD.US,D,20110314,000000,11.0734,11.0734,10.713,10.875,52203.690961785,0
WD.US,D,20110315,000000,10.6963,10.7954,10.2996,10.7513,68767.80468359,0
WD.US,D,20110316,000000,10.7857,11.0026,10.662,10.662,128466.84621362,0
WD.US,D,20110317,000000,10.7857,11.2001,10.5882,10.6697,37508.322931927,0
WD.US,D,20110318,000000,10.9025,11.1725,10.7954,11.0636,64274.667902734,0
WD.US,D,20110321,000000,11.1009,11.2177,11.0026,11.2001,6691.8408402077,0
WD.US,D,20110322,000000,11.1921,11.3621,11.147,11.3179,65310.370555982,0
WD.US,D,20110323,000000,11.3532,11.3709,11.1294,11.2816,77466.892258853,0
WD.US,D,20110324,000000,11.2521,11.2816,11.1824,11.2521,18410.454833248,0
WD.US,D,20110325,000000,11.2717,11.6871,11.1824,11.3709,64960.044388119,0
WD.US,D,20110328,000000,11.3886,11.4886,11.1824,11.3886,59886.425294234,0
WD.US,D,20110329,000000,11.8373,11.8373,10.7857,11.2354,77181.743052452,0
WD.US,D,20110330,000000,11.3366,11.3366,10.6963,10.8317,298148.95504237,0
WD.US,D,20110331,000000,10.7954,11.092,10.7414,10.9202,735732.81684455,0
WD.US,D,20110401,000000,10.8662,10.8662,10.5166,10.7317,122813.76319673,0
WD.US,D,20110404,000000,10.7317,10.7513,10.5166,10.6442,405307.00841767,0
WD.US,D,20110405,000000,10.6531,10.713,10.382,10.4695,105409.47770606,0
WD.US,D,20110406,000000,10.4695,10.662,10.328,10.5255,195871.0266566,0
WD.US,D,20110407,000000,10.5696,10.77,10.437,10.4882,86076.361512104,0
WD.US,D,20110408,000000,10.5442,10.6963,10.4272,10.4695,44967.011459347,0
WD.US,D,20110411,000000,10.4459,10.4979,10.338,10.4272,39934.127966377,0
WD.US,D,20110412,000000,10.4105,10.5539,10.3565,10.4695,25386.426489834,0
WD.US,D,20110413,000000,10.437,10.4979,10.3654,10.437,40694.865313453,0
WD.US,D,20110414,000000,10.3742,10.4882,10.1121,10.1307,85094.633530068,0
WD.US,D,20110415,000000,10.1208,10.437,10.1032,10.2554,43730.685971596,0
WD.US,D,20110418,000000,10.2043,10.3654,10.0228,10.2554,40549.235540185,0
WD.US,D,20110419,000000,10.2466,10.2466,9.97848,10.0148,47461.048625329,0
WD.US,D,20110420,000000,10.0581,10.3084,10.0581,10.1857,33234.140005986,0
WD.US,D,20110421,000000,10.22,10.2996,10.0148,10.167,153431.65923399,0
WD.US,D,20110425,000000,10.1121,10.3742,10.1032,10.3565,36810.725766269,0
WD.US,D,20110426,000000,10.3919,10.5795,10.2299,10.5628,53831.078218314,0
WD.US,D,20110427,000000,10.5255,10.7611,10.5255,10.6787,38335.255630488,0
WD.US,D,20110428,000000,10.662,10.6963,10.5628,10.5982,13184.077235936,0
