<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WTS.US,D,20050225,000000,28.3174,28.8212,26.9014,28.7964,1071507.75982,0
WTS.US,D,20050228,000000,28.707,29.7076,28.6354,29.4254,340706.93749101,0
WTS.US,D,20050301,000000,29.4323,29.4323,28.546,28.8123,262847.57064811,0
WTS.US,D,20050302,000000,28.7606,29.4581,28.6274,29.2822,226008.13235931,0
WTS.US,D,20050303,000000,29.4671,29.7225,29.4671,29.6102,130969.90927454,0
WTS.US,D,20050304,000000,29.7076,29.7314,29.2167,29.7146,120465.34562764,0
WTS.US,D,20050307,000000,29.7403,30.3783,29.7146,30.3087,218776.3068787,0
WTS.US,D,20050308,000000,30.3276,30.7607,30.3087,30.4299,218322.4308292,0
WTS.US,D,20050309,000000,30.4299,30.4299,29.6986,29.8228,148036.05128683,0
WTS.US,D,20050310,000000,29.8228,30.1846,29.4939,29.5386,144308.43069398,0
WTS.US,D,20050311,000000,29.5833,29.8805,29.4671,29.8486,96506.527200575,0
WTS.US,D,20050314,000000,29.9093,30.8104,29.9093,30.3276,104527.35228831,0
WTS.US,D,20050315,000000,30.5492,30.8552,30.0702,30.281,107128.83696232,0
WTS.US,D,20050316,000000,30.281,30.3365,29.5297,29.7076,86220.347373502,0
WTS.US,D,20050317,000000,29.6012,30.0892,29.0468,29.8318,196516.25291186,0
WTS.US,D,20050318,000000,29.8805,29.8903,29.1729,29.2445,259797.24180985,0
WTS.US,D,20050321,000000,29.1998,29.4671,28.9364,29.3707,97410.253791388,0
WTS.US,D,20050322,000000,29.4164,29.9282,28.9821,29.0715,105428.05974798,0
WTS.US,D,20050323,000000,28.9544,29.0895,28.5818,28.7795,97184.82533221,0
WTS.US,D,20050324,000000,28.845,29.3081,28.6721,28.7884,100799.73169546,0
WTS.US,D,20050328,000000,29.0101,29.2445,28.4924,28.5818,76276.335743398,0
WTS.US,D,20050329,000000,28.5907,29.325,28.5012,28.845,146342.31871184,0
WTS.US,D,20050330,000000,29.1143,29.2644,28.8272,29.1064,129844.77973276,0
WTS.US,D,20050331,000000,29.1412,29.2077,28.7606,28.855,132894.10219397,0
WTS.US,D,20050401,000000,28.855,29.1064,28.4447,28.5012,220016.16340419,0
WTS.US,D,20050404,000000,28.6274,29.4671,28.5012,29.2544,131200.36961898,0
WTS.US,D,20050405,000000,29.3449,29.5118,29.1332,29.2902,205557.54432821,0
WTS.US,D,20050406,000000,29.2167,29.5038,29.1412,29.1412,106337.82460109,0
WTS.US,D,20050407,000000,29.0548,29.3896,28.7606,29.2992,87123.067587267,0
WTS.US,D,20050408,000000,29.2167,29.2167,28.7884,28.845,83624.9009618,0
WTS.US,D,20050411,000000,28.8927,29.1143,28.3174,28.38,79776.515122965,0
WTS.US,D,20050412,000000,28.38,29.1143,27.7152,29.1064,198998.98509398,0
WTS.US,D,20050413,000000,29.2902,29.2902,28.8053,28.8371,165436.31047967,0
WTS.US,D,20050414,000000,28.7606,29.0101,27.5831,27.5831,203639.38967109,0
WTS.US,D,20050415,000000,27.7421,28.2657,26.9651,27.0724,164421.88241337,0
WTS.US,D,20050418,000000,27.0346,27.4857,26.2834,26.9729,180803.68803171,0
WTS.US,D,20050419,000000,27.0813,28.227,27.0813,27.9447,118882.31452815,0
WTS.US,D,20050420,000000,27.8931,28.4507,27.6099,27.8733,224083.93943989,0
WTS.US,D,20050421,000000,28.069,28.8053,27.7421,28.7606,142612.68536489,0
WTS.US,D,20050422,000000,28.6721,28.6721,27.6745,28.2836,175378.30935568,0
WTS.US,D,20050425,000000,28.37,28.697,28.2101,28.5012,109276.44558681,0
WTS.US,D,20050426,000000,28.4167,28.9107,27.9806,28.0879,120573.02797198,0
WTS.US,D,20050427,000000,27.7421,28.0969,27.4927,27.7679,90514.558245444,0
