<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BRBS.US,D,20191226,000000,12.7592,12.7592,12.7592,12.7592,985.66370839948,0
BRBS.US,D,20191227,000000,12.7494,12.7494,12.5961,12.5961,1216.8059210097,0
BRBS.US,D,20191230,000000,12.5559,12.6846,12.4488,12.4488,14441.806173791,0
BRBS.US,D,20191231,000000,12.5333,12.8103,12.495,12.8103,11793.344081284,0
BRBS.US,D,20200102,000000,12.8103,13.043,12.6865,12.6865,8620.4844579649,0
BRBS.US,D,20200103,000000,12.8211,12.8211,12.7621,12.7621,1005.0104134197,0
BRBS.US,D,20200106,000000,12.8279,12.8279,12.7925,12.7925,348.24069036428,0
BRBS.US,D,20200107,000000,12.8397,12.9929,12.8397,12.9929,4446.6874117568,0
BRBS.US,D,20200108,000000,12.8358,12.8358,12.6865,12.718,2164.7944670013,0
BRBS.US,D,20200109,000000,12.7788,12.9448,12.7788,12.8456,1976.4186549622,0
BRBS.US,D,20200110,000000,12.987,12.9929,12.987,12.9929,848.20027799253,0
BRBS.US,D,20200113,000000,12.9929,12.9929,12.9929,12.9929,1995.7653599824,0
BRBS.US,D,20200114,000000,12.8956,13.1452,12.8956,13.1452,2366.4074982649,0
BRBS.US,D,20200115,000000,13.0558,13.0558,13.0558,13.0558,370.64213828245,0
BRBS.US,D,20200116,000000,13.0205,13.1452,13.0205,13.1452,1650.5794125161,0
BRBS.US,D,20200117,000000,13.1452,13.1452,12.9595,12.9595,1718.8020039032,0
BRBS.US,D,20200121,000000,13.1452,13.1452,12.9752,13.0911,4564.8041371435,0
BRBS.US,D,20200124,000000,13.0243,13.0243,13.0243,13.0243,172.08384991685,0
BRBS.US,D,20200128,000000,12.9468,13.1452,12.9468,13.1452,3218.680766788,0
BRBS.US,D,20200130,000000,13.0243,13.1785,13.0243,13.1452,17836.643781027,0
BRBS.US,D,20200131,000000,13.2197,13.2385,12.9684,13.2315,13166.96013772,0
BRBS.US,D,20200203,000000,13.1452,13.1452,13.1264,13.1264,2540.527843447,0
BRBS.US,D,20200204,000000,12.932,13.1452,12.9144,13.1196,8388.3239977221,0
BRBS.US,D,20200205,000000,12.9408,12.9408,12.9408,12.9408,936.78782203257,0
BRBS.US,D,20200206,000000,12.9605,12.9929,12.9389,12.9536,1786.0063476577,0
BRBS.US,D,20200210,000000,12.987,12.987,12.987,12.987,489.77711130181,0
BRBS.US,D,20200211,000000,12.877,12.877,12.877,12.877,11448.158133818,0
BRBS.US,D,20200212,000000,12.8711,12.8711,12.8397,12.8397,4329.5889340027,0
BRBS.US,D,20200213,000000,12.4872,12.4872,12.4734,12.4734,820.70759191114,0
BRBS.US,D,20200214,000000,12.5333,13.4525,12.5333,13.4525,8597.0647624141,0
BRBS.US,D,20200218,000000,13.1452,13.1452,12.8103,12.8103,2523.2176336921,0
BRBS.US,D,20200219,000000,12.6884,12.8338,12.4734,12.4734,12389.018946381,0
BRBS.US,D,20200220,000000,12.5461,12.5461,12.5461,12.5461,8769.1486123309,0
BRBS.US,D,20200224,000000,12.7788,12.7788,12.5048,12.6688,3327.6332634809,0
BRBS.US,D,20200226,000000,12.4184,12.6865,12.4184,12.5333,11188.504987493,0
BRBS.US,D,20200227,000000,12.4429,12.4429,12.4429,12.4429,1947.9077212482,0
BRBS.US,D,20200228,000000,12.3035,12.6865,12.3035,12.3575,14440.787926159,0
BRBS.US,D,20200302,000000,12.3821,12.5284,12.3821,12.5048,1676.0356033322,0
BRBS.US,D,20200303,000000,12.2966,12.5048,12.2966,12.3212,8412.7619409055,0
BRBS.US,D,20200304,000000,12.2406,12.2406,12.2406,12.2406,2453.9767946723,0
BRBS.US,D,20200305,000000,12.1375,12.2809,12.1375,12.2809,2991.6115447084,0
BRBS.US,D,20200306,000000,12.223,12.223,12.223,12.223,389.98884330269,0
BRBS.US,D,20200309,000000,12.1061,12.1061,12.0756,12.0756,1065.0870237457,0
BRBS.US,D,20200310,000000,12.3369,12.3369,11.4284,12.0756,1228.0066449688,0
BRBS.US,D,20200311,000000,11.6288,12.2161,11.6288,12.2161,1656.6888983119,0
BRBS.US,D,20200312,000000,10.5475,10.5475,10.5475,10.5475,1200.5139588874,0
BRBS.US,D,20200313,000000,10.5475,11.0847,10.5475,10.578,2453.9767946723,0
BRBS.US,D,20200316,000000,10.0859,10.0859,10.0859,10.0859,270.85387028333,0
BRBS.US,D,20200317,000000,10.3639,10.3963,10.1802,10.1802,2961.064115729,0
BRBS.US,D,20200318,000000,10.1027,10.1802,9.8316,9.84436,9424.9000877537,0
BRBS.US,D,20200319,000000,9.84436,9.85026,9.78249,9.78249,1719.8202515359,0
BRBS.US,D,20200320,000000,9.63518,9.81392,9.33074,9.81392,2475.3599949578,0
BRBS.US,D,20200324,000000,9.78249,9.78249,9.72848,9.72848,1119.0541482759,0
BRBS.US,D,20200325,000000,9.6725,9.6725,9.06116,9.47706,6588.0621832073,0
BRBS.US,D,20200326,000000,9.42207,9.47706,9.37296,9.45252,11406.40998088,0
BRBS.US,D,20200327,000000,9.61259,9.75303,9.59982,9.75303,9564.400013426,0
BRBS.US,D,20200330,000000,9.75794,9.7766,9.75794,9.7766,4221.6546849424,0
BRBS.US,D,20200331,000000,9.78249,9.78249,9.75303,9.75303,4164.6328175143,0
BRBS.US,D,20200402,000000,9.67938,9.67938,9.67938,9.67938,188.37581203916,0
BRBS.US,D,20200403,000000,9.70392,9.70392,9.70392,9.70392,399.15307199649,0
BRBS.US,D,20200406,000000,9.7766,9.7766,9.65384,9.74616,10474.71339701,0
BRBS.US,D,20200407,000000,9.75597,9.76384,9.75597,9.76384,1632.2509551285,0
BRBS.US,D,20200408,000000,9.76384,9.78249,9.74616,9.74616,7917.8935914405,0
BRBS.US,D,20200409,000000,9.78249,9.78249,9.77071,9.78249,2475.3599949578,0
BRBS.US,D,20200413,000000,9.32514,9.75303,9.32514,9.71669,1976.4186549622,0
BRBS.US,D,20200414,000000,9.72258,9.75303,9.72258,9.75303,9148.9549793072,0
BRBS.US,D,20200415,000000,9.69705,9.74124,9.69705,9.74124,3243.1187099714,0
BRBS.US,D,20200416,000000,9.69705,9.78249,9.69705,9.78249,881.80244986979,0
BRBS.US,D,20200417,000000,9.78249,9.78249,9.76089,9.76089,936.78782203257,0
BRBS.US,D,20200420,000000,9.72848,9.74124,9.72848,9.74124,1402.1269901509,0
BRBS.US,D,20200421,000000,9.87186,9.93181,9.85811,9.85811,7528.9229957704,0
BRBS.US,D,20200422,000000,9.93181,9.93181,9.93181,9.93181,161.90137359041,0
BRBS.US,D,20200423,000000,9.85811,9.85811,9.80802,9.85811,3668.7462204167,0
BRBS.US,D,20200424,000000,9.83258,9.89347,9.80802,9.87186,7080.894037407,0
BRBS.US,D,20200428,000000,9.85615,9.85811,9.84436,9.85811,3145.3669372376,0
BRBS.US,D,20200429,000000,9.86499,9.87186,9.56152,9.56152,5239.9023175865,0
BRBS.US,D,20200430,000000,9.69115,9.72258,9.69115,9.72258,3808.2461460889,0
BRBS.US,D,20200501,000000,9.87186,9.93181,9.85811,9.85811,3250.2464434,0
BRBS.US,D,20200504,000000,9.90231,9.93181,9.88169,9.93181,1266.7000550093,0
BRBS.US,D,20200505,000000,9.93181,9.93181,9.87579,9.93181,11634.497450592,0
BRBS.US,D,20200506,000000,9.90626,9.90626,9.86499,9.86499,3244.1369576041,0
BRBS.US,D,20200507,000000,9.89936,9.93181,9.84534,9.85222,10296.520061297,0
BRBS.US,D,20200508,000000,9.87186,9.95727,9.59884,9.95727,5576.9422839917,0
BRBS.US,D,20200511,000000,9.95727,9.95727,9.95727,9.95727,855.32801142104,0
BRBS.US,D,20200512,000000,9.40439,9.51831,9.2393,9.30854,6554.46001133,0
BRBS.US,D,20200513,000000,9.25797,9.30854,9.14168,9.14168,6135.9602343133,0
BRBS.US,D,20200514,000000,9.43582,9.43582,9.16084,9.16084,11465.468343573,0
BRBS.US,D,20200515,000000,9.16084,9.24608,9.10535,9.24608,3326.6150158483,0
BRBS.US,D,20200518,000000,9.25207,9.25207,9.2016,9.2016,2606.7139395689,0
BRBS.US,D,20200519,000000,9.95143,9.95143,9.25885,9.29882,1606.7947643124,0
BRBS.US,D,20200520,000000,9.43877,9.43877,9.25207,9.25207,823.76233480907,0
