<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FLYX-WS.US,D,20231229,000000,0.22,0.2998,0.22,0.22,14699,0
FLYX-WS.US,D,20240102,000000,0.55,0.55,0.231,0.3498,237885,0
FLYX-WS.US,D,20240103,000000,0.3099,0.33,0.25,0.274,9819,0
FLYX-WS.US,D,20240104,000000,0.3001,0.3293,0.2501,0.3196,314211,0
FLYX-WS.US,D,20240105,000000,0.2806,0.44,0.2806,0.3,18621,0
FLYX-WS.US,D,20240108,000000,0.35,0.35,0.2601,0.295,116878,0
FLYX-WS.US,D,20240109,000000,0.3,0.3531,0.2625,0.3529,112785,0
FLYX-WS.US,D,20240110,000000,0.285,0.3899,0.2625,0.3081,3772,0
FLYX-WS.US,D,20240111,000000,0.3,0.3,0.27,0.27,2348,0
FLYX-WS.US,D,20240116,000000,0.3,0.3,0.2625,0.2676,146889,0
FLYX-WS.US,D,20240117,000000,0.3799,0.3799,0.2348,0.2557,165090,0
FLYX-WS.US,D,20240118,000000,0.27,0.3,0.25,0.25,76163,0
FLYX-WS.US,D,20240119,000000,0.25,0.3,0.25,0.25,33603,0
FLYX-WS.US,D,20240122,000000,0.26,0.3,0.26,0.26,1535,0
FLYX-WS.US,D,20240124,000000,0.26,0.27,0.26,0.27,1314,0
FLYX-WS.US,D,20240125,000000,0.2999,0.2999,0.25,0.25,1653,0
FLYX-WS.US,D,20240129,000000,0.2626,0.2884,0.26,0.27,11933,0
FLYX-WS.US,D,20240201,000000,0.297,0.3,0.274,0.274,2100,0
FLYX-WS.US,D,20240202,000000,0.289899,0.38,0.289899,0.34,57557,0
FLYX-WS.US,D,20240205,000000,0.34,0.341,0.34,0.34,4849,0
FLYX-WS.US,D,20240206,000000,0.34,0.34,0.34,0.34,1200,0
FLYX-WS.US,D,20240207,000000,0.2826,0.31,0.2826,0.31,2562,0
FLYX-WS.US,D,20240212,000000,0.2761,0.2875,0.2761,0.2801,800,0
FLYX-WS.US,D,20240215,000000,0.3,0.3,0.28,0.28,5061,0
FLYX-WS.US,D,20240216,000000,0.2853,0.2853,0.28,0.2825,5730,0
FLYX-WS.US,D,20240221,000000,0.4,0.4,0.4,0.4,100,0
FLYX-WS.US,D,20240222,000000,0.39,0.3939,0.31,0.31,77131,0
FLYX-WS.US,D,20240223,000000,0.34,0.43,0.34,0.39,52364,0
FLYX-WS.US,D,20240226,000000,0.404,0.404,0.2801,0.3625,58664,0
FLYX-WS.US,D,20240227,000000,0.4,0.4,0.3,0.355,481310,0
FLYX-WS.US,D,20240228,000000,0.34,0.4,0.34,0.38,25521,0
FLYX-WS.US,D,20240229,000000,0.39,0.405,0.3112,0.405,54104,0
FLYX-WS.US,D,20240301,000000,0.43,0.43,0.372549,0.42,47533,0
FLYX-WS.US,D,20240304,000000,0.43,0.43,0.37,0.37,33562,0
FLYX-WS.US,D,20240305,000000,0.409,0.5,0.4,0.45,55273,0
FLYX-WS.US,D,20240306,000000,0.4999,0.6435,0.497,0.501101,33847,0
FLYX-WS.US,D,20240307,000000,0.7,0.7,0.6,0.65,114862,0
FLYX-WS.US,D,20240308,000000,0.55,0.6675,0.55,0.6675,57156,0
FLYX-WS.US,D,20240311,000000,0.6,1.06,0.6,0.95,195751,0
FLYX-WS.US,D,20240312,000000,0.9499,0.97,0.85,0.9293,38332,0
FLYX-WS.US,D,20240313,000000,0.89,0.97,0.89,0.89,110605,0
FLYX-WS.US,D,20240314,000000,0.854,0.95,0.804,0.8734,115934,0
FLYX-WS.US,D,20240315,000000,0.86,0.92,0.85,0.8565,63796,0
FLYX-WS.US,D,20240318,000000,0.91,0.9906,0.88,0.91,112213,0
FLYX-WS.US,D,20240319,000000,0.99,1.03,0.99,1.005,5690,0
FLYX-WS.US,D,20240320,000000,1.04,1.05,0.91,0.91,109360,0
FLYX-WS.US,D,20240321,000000,0.9199,1.045,0.9199,0.9999,374610,0
FLYX-WS.US,D,20240322,000000,1,1.015,0.9,0.9,499824,0
FLYX-WS.US,D,20240325,000000,0.41,0.88,0.41,0.7376,23057,0
FLYX-WS.US,D,20240326,000000,0.42,0.76,0.42,0.6,40783,0
FLYX-WS.US,D,20240327,000000,0.52,0.63,0.47,0.5025,30588,0
FLYX-WS.US,D,20240328,000000,0.4775,0.5461,0.43,0.43,9422,0
FLYX-WS.US,D,20240401,000000,0.4125,0.4125,0.4125,0.4125,160,0
FLYX-WS.US,D,20240402,000000,0.401,0.401,0.401,0.401,100,0
FLYX-WS.US,D,20240403,000000,0.4025,0.4025,0.4025,0.4025,100,0
FLYX-WS.US,D,20240404,000000,0.4025,0.4025,0.4025,0.4025,100,0
FLYX-WS.US,D,20240408,000000,0.4298,0.4298,0.4298,0.4298,604,0
FLYX-WS.US,D,20240409,000000,0.45,0.45,0.4075,0.4119,3620,0
FLYX-WS.US,D,20240411,000000,0.4,0.4,0.4,0.4,100,0
FLYX-WS.US,D,20240412,000000,0.52,0.52,0.4025,0.40825,1800,0
FLYX-WS.US,D,20240417,000000,0.4025,0.4263,0.4025,0.4263,1171,0
FLYX-WS.US,D,20240501,000000,0.55,0.55,0.49,0.5,3104,0
FLYX-WS.US,D,20240502,000000,0.49,0.526,0.476,0.526,25923,0
FLYX-WS.US,D,20240503,000000,0.5,0.54,0.4999,0.51,6388,0
FLYX-WS.US,D,20240506,000000,0.41,0.56,0.41,0.4725,12945,0
FLYX-WS.US,D,20240507,000000,0.4175,0.49,0.41,0.41,67888,0
FLYX-WS.US,D,20240508,000000,0.45,0.55,0.45,0.55,1500,0
FLYX-WS.US,D,20240510,000000,0.5,0.5,0.5,0.5,1000,0
FLYX-WS.US,D,20240513,000000,0.5,0.5,0.5,0.5,216,0
FLYX-WS.US,D,20240514,000000,0.5,0.51,0.4825,0.51,26301,0
FLYX-WS.US,D,20240515,000000,0.5,0.54,0.4973,0.5075,22602,0
FLYX-WS.US,D,20240516,000000,0.53,0.6,0.5,0.6,11502,0
FLYX-WS.US,D,20240522,000000,0.5853,0.5853,0.5853,0.5853,2018,0
FLYX-WS.US,D,20240524,000000,0.55,0.55,0.52,0.52,1200,0
FLYX-WS.US,D,20240528,000000,0.65,0.7,0.64,0.7,3020,0
FLYX-WS.US,D,20240529,000000,0.71,0.78,0.69,0.77,4300,0
FLYX-WS.US,D,20240530,000000,0.65,0.65,0.46,0.63,14641,0
FLYX-WS.US,D,20240531,000000,0.59,0.59,0.59,0.59,100,0
FLYX-WS.US,D,20240604,000000,0.62,0.62,0.62,0.62,361,0
FLYX-WS.US,D,20240605,000000,0.55,0.6275,0.54,0.6275,2900,0
FLYX-WS.US,D,20240606,000000,0.5975,0.5975,0.5975,0.5975,950,0
FLYX-WS.US,D,20240607,000000,0.55,0.55,0.5375,0.5475,3601,0
FLYX-WS.US,D,20240610,000000,0.55,0.5725,0.55,0.5725,4600,0
FLYX-WS.US,D,20240611,000000,0.5725,0.5725,0.5725,0.5725,1000,0
FLYX-WS.US,D,20240612,000000,0.5675,0.5675,0.5675,0.5675,3061,0
FLYX-WS.US,D,20240618,000000,0.5675,0.5775,0.5675,0.5775,5352,0
FLYX-WS.US,D,20240620,000000,0.555,0.565,0.555,0.555,2505,0
FLYX-WS.US,D,20240621,000000,0.5475,0.5475,0.5475,0.5475,4350,0
FLYX-WS.US,D,20240625,000000,0.55,0.55,0.55,0.55,289,0
FLYX-WS.US,D,20240626,000000,0.55,0.555,0.55,0.555,200,0
FLYX-WS.US,D,20240710,000000,0.545,0.5525,0.5425,0.5475,23100,0
FLYX-WS.US,D,20240715,000000,0.55,0.565,0.5,0.55,39929,0
FLYX-WS.US,D,20240716,000000,0.88,0.88,0.58,0.58,875,0
FLYX-WS.US,D,20240722,000000,0.4431,0.4432,0.4431,0.4432,841,0
FLYX-WS.US,D,20240723,000000,0.4408,0.5332,0.4408,0.4408,5826,0
FLYX-WS.US,D,20240724,000000,0.5066,0.56,0.4253,0.55,8812,0
FLYX-WS.US,D,20240725,000000,0.55,0.6245,0.55,0.6245,4652,0
FLYX-WS.US,D,20240815,000000,0.55,0.55,0.55,0.55,448,0
FLYX-WS.US,D,20240827,000000,0.45,0.45,0.34,0.45,143172,0
FLYX-WS.US,D,20240828,000000,0.4225,0.4225,0.39,0.39,14619,0
FLYX-WS.US,D,20240829,000000,0.303375,0.303375,0.303375,0.303375,100,0
FLYX-WS.US,D,20240903,000000,0.4899,0.4899,0.3425,0.4842,500,0
FLYX-WS.US,D,20240904,000000,0.45,0.45,0.45,0.45,100,0
FLYX-WS.US,D,20240906,000000,0.43,0.44,0.42,0.44,700,0
FLYX-WS.US,D,20240918,000000,0.5175,0.5175,0.28,0.5175,2702,0
