<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PHGE.US,D,20190319,000000,100,100,99.999,100,101.1,0
PHGE.US,D,20190320,000000,100,100,100,100,0.9,0
PHGE.US,D,20190322,000000,97.958,97.958,97.958,97.958,20,0
PHGE.US,D,20190411,000000,95.5,97,95.5,97,40,0
PHGE.US,D,20190417,000000,98.5,98.5,98.5,98.5,19.1,0
PHGE.US,D,20190418,000000,98.5,98.5,98.5,98.5,2.9,0
PHGE.US,D,20190501,000000,96.9,96.9,96.9,96.9,51.1,0
PHGE.US,D,20190502,000000,97.5,97.5,97.5,97.5,50.1,0
PHGE.US,D,20190503,000000,96.4,97,96.4,97,180,0
PHGE.US,D,20190506,000000,97,97.2,97,97.2,300,0
PHGE.US,D,20190508,000000,101,101,97.3,98,80,0
PHGE.US,D,20190509,000000,98,98,98,98,0.5,0
PHGE.US,D,20190521,000000,100.2,100.2,98.7,98.7,32.2,0
PHGE.US,D,20190522,000000,98.7,98.7,98.7,98.7,0.6,0
PHGE.US,D,20190524,000000,97.6,97.6,97.6,97.6,10.5,0
PHGE.US,D,20190603,000000,97.6,97.6,97.6,97.6,10,0
PHGE.US,D,20190606,000000,97.8,98,97.8,98,4900.1,0
PHGE.US,D,20190614,000000,97.8,97.8,97.8,97.8,20000,0
PHGE.US,D,20190619,000000,98.1,98.29,97.9,97.9,2050,0
PHGE.US,D,20190620,000000,98.1,98.1,98.1,98.1,70.1,0
PHGE.US,D,20190621,000000,98.1,98.1,98.1,98.1,10,0
PHGE.US,D,20190626,000000,98,98,97.9,97.9,310.2,0
PHGE.US,D,20190627,000000,97.9,97.9,97.9,97.9,0.1,0
PHGE.US,D,20190701,000000,98,98,98,98,10,0
PHGE.US,D,20190717,000000,102.6,106.5,102.6,106.5,67407.6,0
PHGE.US,D,20190718,000000,104.9,117,104.401,104.9,1219.1,0
PHGE.US,D,20190719,000000,103.001,106.5,103.001,106.5,1748,0
PHGE.US,D,20190722,000000,113.7,119,106.9,107.7,2225.4,0
PHGE.US,D,20190723,000000,107.3,107.3,107.3,107.3,301.1,0
PHGE.US,D,20190724,000000,106.5,107.9,106,106,1027,0
PHGE.US,D,20190725,000000,103.339,106,103,105.9,1393.6,0
PHGE.US,D,20190726,000000,106.375,106.5,105.5,105.5,9812.8,0
PHGE.US,D,20190729,000000,103,105.1,103,105.1,54.5,0
PHGE.US,D,20190730,000000,103.515,104.8,103.515,104.7,402.3,0
PHGE.US,D,20190731,000000,104.97,104.97,104.97,104.97,300.5,0
PHGE.US,D,20190805,000000,103.2,103.7,102.5,103.7,1012.7,0
PHGE.US,D,20190806,000000,103.3,103.3,102.5,102.5,150,0
PHGE.US,D,20190808,000000,102.6,103.9,102.6,103.9,30,0
PHGE.US,D,20190809,000000,104,105.2,102.705,103,191.9,0
PHGE.US,D,20190812,000000,102.8,102.8,102.5,102.5,100.2,0
PHGE.US,D,20190816,000000,102,102,102,102,10.1,0
PHGE.US,D,20190819,000000,102.9,103,102.9,103,220.2,0
PHGE.US,D,20190821,000000,103,103,103,103,10,0
PHGE.US,D,20190822,000000,102.6,102.7,102.6,102.7,327.6,0
PHGE.US,D,20190826,000000,102.55,102.55,102.55,102.55,15,0
PHGE.US,D,20190827,000000,102.5,102.5,102,102,520,0
PHGE.US,D,20190829,000000,102,102.2,101.8,102.2,540,0
PHGE.US,D,20190830,000000,102.1,102.1,102.1,102.1,160,0
PHGE.US,D,20190903,000000,102,102,102,102,10,0
PHGE.US,D,20190905,000000,102,102.5,102,102.5,1000,0
PHGE.US,D,20190906,000000,102.35,102.35,102.35,102.35,15,0
PHGE.US,D,20190909,000000,101.921,101.921,100.5,100.5,259.8,0
PHGE.US,D,20190910,000000,101,101,101,101,20,0
PHGE.US,D,20190912,000000,101.629,101.629,101,101,105.1,0
PHGE.US,D,20190913,000000,101.5,101.5,101.5,101.5,40,0
PHGE.US,D,20190916,000000,101.1,101.1,101,101,110,0
PHGE.US,D,20190917,000000,101.4,101.4,101.4,101.4,100,0
PHGE.US,D,20190918,000000,101.9,102,101.756,102,121,0
PHGE.US,D,20190923,000000,102,102,101.1,101.1,120,0
PHGE.US,D,20190927,000000,102.5,102.5,101,101.2,1519.2,0
PHGE.US,D,20190930,000000,102.3,102.7,101.504,101.504,1171.9,0
