<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SOAR.US,D,20220124,000000,251.25,251.25,250,250,36.04,0
SOAR.US,D,20220126,000000,246.75,246.75,246.75,246.75,13921.28,0
SOAR.US,D,20220128,000000,245,245,245,245,16,0
SOAR.US,D,20220201,000000,248,248,248,248,4.04,0
SOAR.US,D,20220202,000000,245.25,245.75,245.25,245.75,31,0
SOAR.US,D,20220204,000000,246,246,246,246,4,0
SOAR.US,D,20220208,000000,246,246,246,246,4,0
SOAR.US,D,20220209,000000,248.25,248.25,245.375,245.375,239.88,0
SOAR.US,D,20220211,000000,245.25,245.25,245.25,245.25,4,0
SOAR.US,D,20220216,000000,246.25,246.25,246,246,4043.04,0
SOAR.US,D,20220217,000000,246,246,246,246,2228.96,0
SOAR.US,D,20220223,000000,245.5,245.5,245.5,245.5,27,0
SOAR.US,D,20220224,000000,245,246,245,245.75,1056.32,0
SOAR.US,D,20220228,000000,246,246.25,246,246,164,0
SOAR.US,D,20220301,000000,246.25,246.25,246.25,246.25,420.04,0
SOAR.US,D,20220302,000000,246,246,246,246,20.56,0
SOAR.US,D,20220304,000000,246.5,247,246.5,247,544.8,0
SOAR.US,D,20220307,000000,247,247,247,247,600,0
SOAR.US,D,20220308,000000,247.25,247.25,247,247,265.96,0
SOAR.US,D,20220310,000000,246.75,246.75,246.5,246.75,15848.08,0
SOAR.US,D,20220317,000000,247.25,247.25,247,247,578.4,0
SOAR.US,D,20220323,000000,247,247.25,247,247,51.6,0
SOAR.US,D,20220328,000000,247.5,247.5,247.25,247.5,3664.08,0
SOAR.US,D,20220331,000000,247.75,247.75,247.5,247.5,104,0
SOAR.US,D,20220401,000000,246.25,248,246,247.75,5641.96,0
SOAR.US,D,20220404,000000,247.125,247.25,247,247,1153.6000000000001,0
SOAR.US,D,20220405,000000,247.25,247.25,247.25,247.25,223.8,0
SOAR.US,D,20220406,000000,247.75,247.75,247.75,247.75,4.48,0
SOAR.US,D,20220407,000000,247.5,248,247.5,248,53.24,0
SOAR.US,D,20220408,000000,247.5,247.5,247.5,247.5,104,0
SOAR.US,D,20220411,000000,247.625,247.625,247.625,247.625,4,0
SOAR.US,D,20220412,000000,247,247,247,247,5.6000000000000005,0
SOAR.US,D,20220413,000000,248.5,248.75,248.25,248.75,61.56,0
SOAR.US,D,20220414,000000,248.5,248.5,248.5,248.5,105.28,0
SOAR.US,D,20220419,000000,247.5,248,247.5,247.5,247.72,0
SOAR.US,D,20220420,000000,248.5,248.5,248,248,15.280000000000001,0
SOAR.US,D,20220425,000000,249.25,249.75,248.5,248.5,78.64,0
SOAR.US,D,20220428,000000,248,248,248,248,8,0
SOAR.US,D,20220504,000000,249.5,249.5,249.5,249.5,6.5200000000000005,0
SOAR.US,D,20220505,000000,248.25,248.25,248.25,248.25,8,0
SOAR.US,D,20220506,000000,248.75,248.75,248,248,45.480000000000004,0
SOAR.US,D,20220511,000000,247.75,247.75,247.75,247.75,1004,0
SOAR.US,D,20220512,000000,247.75,247.75,246.5,246.5,288.2,0
SOAR.US,D,20220513,000000,247,247,246.75,246.75,809.64,0
SOAR.US,D,20220517,000000,246.75,246.75,246.5,246.5,904,0
SOAR.US,D,20220520,000000,246.5,246.5,246.5,246.5,1261.24,0
SOAR.US,D,20220523,000000,247.125,247.125,246.25,246.25,1616,0
SOAR.US,D,20220525,000000,246.75,246.75,246.75,246.75,2000.0800000000002,0
SOAR.US,D,20220527,000000,246.75,247.5,246.75,247.5,2453.4,0
SOAR.US,D,20220531,000000,246.75,248.75,246.75,248,416,0
SOAR.US,D,20220601,000000,246.75,246.75,246.745,246.75,24385.84,0
SOAR.US,D,20220602,000000,248,248,248,248,4324.96,0
SOAR.US,D,20220603,000000,247.25,247.5,247,247.25,7006.24,0
SOAR.US,D,20220606,000000,247.25,247.5,247.25,247.25,17100.28,0
SOAR.US,D,20220607,000000,247.25,247.25,247.25,247.25,36.24,0
SOAR.US,D,20220623,000000,247.5,247.75,247,247.75,572,0
SOAR.US,D,20220630,000000,247,247.25,247,247.25,170.08,0
SOAR.US,D,20220705,000000,248.125,248.125,248.125,248.125,2751.32,0
SOAR.US,D,20220706,000000,248,248,248,248,901.24,0
SOAR.US,D,20220708,000000,248,248,248,248,3191.6,0
SOAR.US,D,20220711,000000,247.75,247.75,247.75,247.75,7.8,0
SOAR.US,D,20220714,000000,248.5,249,247.5,248,2047,0
SOAR.US,D,20220715,000000,248.75,248.75,248.75,248.75,1967.28,0
SOAR.US,D,20220726,000000,248.75,248.75,248.75,248.75,4000,0
SOAR.US,D,20220727,000000,248.75,249.498,248,248.75,2479.08,0
SOAR.US,D,20220728,000000,248.5,249.125,248.5,249.125,95.44,0
SOAR.US,D,20220729,000000,249,249,248.502,248.502,16,0
SOAR.US,D,20220802,000000,249,249,248.75,248.75,5047.92,0
SOAR.US,D,20220803,000000,248.75,248.75,248.75,248.75,34.32,0
SOAR.US,D,20220808,000000,248.75,248.75,248.25,248.5,4249.92,0
SOAR.US,D,20220809,000000,248.5,248.5,248.5,248.5,1874.2,0
SOAR.US,D,20220811,000000,248.5,248.75,248.5,248.75,153.52,0
SOAR.US,D,20220815,000000,248.25,248.25,248.25,248.25,4.4,0
SOAR.US,D,20220816,000000,249.75,249.75,249.75,249.75,4.4,0
SOAR.US,D,20220817,000000,249.25,249.25,249.25,249.25,24,0
SOAR.US,D,20220823,000000,249.25,249.25,249.25,249.25,200,0
