<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UMAC.US,D,20240214,000000,4,4.4,2.5,3.03,373200,0
UMAC.US,D,20240215,000000,3.38,3.7,3.11,3.5,99175,0
UMAC.US,D,20240216,000000,3.5,3.5,2.8,2.99,37000,0
UMAC.US,D,20240220,000000,3.04,3.07,2.4401,2.515,19737,0
UMAC.US,D,20240221,000000,2.32,2.65,2.32,2.48,99595,0
UMAC.US,D,20240222,000000,2.6,2.6,2.37,2.435,3715,0
UMAC.US,D,20240223,000000,2.85,3.47,2.6702,3.32,246633,0
UMAC.US,D,20240226,000000,3.49,3.49,2.81,2.895,75599,0
UMAC.US,D,20240227,000000,2.67,3.4,2.51,3.285,162869,0
UMAC.US,D,20240228,000000,3.29,3.29,2.8301,2.96,53346,0
UMAC.US,D,20240229,000000,3.05,3.05,2.75,2.84,22038,0
UMAC.US,D,20240301,000000,2.83,2.83,2.522,2.61,44699,0
UMAC.US,D,20240304,000000,2.54,2.7,2.51,2.55,9761,0
UMAC.US,D,20240305,000000,2.5899,2.5899,2.31,2.4,29434,0
UMAC.US,D,20240306,000000,2.49,2.75,2.42,2.61,40553,0
UMAC.US,D,20240307,000000,3,3,2.63,2.75,42897,0
UMAC.US,D,20240308,000000,2.83,2.849,2.67,2.75,20052,0
UMAC.US,D,20240311,000000,3.74,5.54,2.31,2.41,4740403,0
UMAC.US,D,20240312,000000,2.48,2.76,1.95,2.14,539274,0
UMAC.US,D,20240313,000000,1.99,2.43,1.9,2.15,177329,0
UMAC.US,D,20240314,000000,2.41,2.6559,2.08,2.36,126455,0
UMAC.US,D,20240315,000000,2.59,2.59,2.4,2.41,43028,0
UMAC.US,D,20240318,000000,2.45,2.62,2.32,2.42,13669,0
UMAC.US,D,20240319,000000,2.6,2.77,1.89,1.96,219960,0
UMAC.US,D,20240320,000000,2.08,2.17,1.7101,1.75,68373,0
UMAC.US,D,20240321,000000,1.9,1.95,1.75,1.79,112922,0
UMAC.US,D,20240322,000000,1.8101,1.8502,1.64,1.671,26106,0
UMAC.US,D,20240325,000000,1.84,1.84,1.69,1.8,68217,0
UMAC.US,D,20240326,000000,1.9,2.09,1.755,2.03,124897,0
UMAC.US,D,20240327,000000,2.0999,2.35,1.95,2.35,114316,0
UMAC.US,D,20240328,000000,2.25,2.5,1.61,1.7499,174638,0
UMAC.US,D,20240401,000000,1.95,1.95,1.7706,1.79,65034,0
UMAC.US,D,20240402,000000,1.79,1.88,1.73,1.75,16056,0
UMAC.US,D,20240403,000000,1.78,1.79,1.4301,1.45,189088,0
UMAC.US,D,20240404,000000,1.43,2,1.36,1.7996,222047,0
UMAC.US,D,20240405,000000,1.75,2.08,1.71,1.9,110305,0
UMAC.US,D,20240408,000000,2.03,2.03,1.74,1.83,43143,0
UMAC.US,D,20240409,000000,1.9,1.9,1.7,1.82,11588,0
UMAC.US,D,20240410,000000,1.7987,1.8384,1.69,1.69,8962,0
