imp_date,ticker,action,price,short_ma,long_ma,50d_ma,rsi,adx,volume_avg_w,volume_avg_w_pct,k,d,j
2025-06-23,LSEA,sell,11.31,11.294,11.278,8.9743,82.98,70.01,1654148,0.95,78.35,61.05,112.95
2025-06-23,WDC,sell,60.38,58.968,55.215,47.7998,82.26,50.2,4626889,-0.41,88.93,85.78,95.23
2025-06-23,FARO,sell,43.75,43.77,42.74,37.4367,81.08,60.18,761689,-0.45,88.41,84.9,95.43
2025-06-23,TSSI,sell,26.96,23.945,18.4603,12.4096,80.64,54.41,3247445,0.12,93.56,90.82,99.04
2025-06-23,INSM,sell,105.42,101.886,83.5145,74.7888,80.33,40.97,3505259,-0.01,97.09,94.42,102.43
2025-06-23,TLN,sell,291.59,287.486,263.8248,237.9712,79.8,43.66,783594,-0.05,91.52,89.69,95.18
2025-06-23,OUST,sell,23.7,20.894,15.9578,11.5617,79.71,63.29,7139094,0.55,89.7,88.06,92.98
2025-06-23,CAR,sell,147.0,133.33,124.2165,106.1911,79.39,29.64,1712916,0.54,92.45,86.82,103.71
2025-06-23,MU,sell,122.08,121.536,108.815,92.6804,79.36,42.98,23399220,0.02,93.73,93.63,93.93
2025-06-23,ITRI,sell,130.81,126.758,120.625,113.2102,79.25,39.83,852372,0.33,93.43,91.95,96.39
2025-06-23,RDWR,sell,28.25,27.702,25.02,23.5739,79.21,35.33,235742,-0.81,86.0,83.48,91.04
2025-06-23,EYE,sell,22.69,22.656,21.091,17.184,79.15,57.36,3413361,0.37,86.16,88.71,81.06
2025-06-23,SAGE,sell,9.3,9.184,7.281,7.2032,78.92,32.23,1788577,-0.81,90.73,78.66,114.87
2025-06-23,ZS,sell,310.46,306.228,290.654,251.1748,78.9,49.8,3054869,0.13,90.6,90.76,90.28
2025-06-23,STX,sell,133.08,131.45,125.157,103.9872,78.52,56.21,4372694,0.11,87.73,85.56,92.07
2025-06-23,BELFB,sell,93.31,89.81,79.8638,74.6849,78.33,30.37,163878,-0.07,93.65,90.19,100.57
2025-06-23,VRNA,sell,97.05,93.584,86.0072,74.3666,78.3,35.88,1224726,0.16,93.98,91.75,98.44
2025-06-23,GRPN,sell,36.93,36.367,32.4788,25.6807,77.78,42.09,2170717,0.03,76.3,84.52,59.86
2025-06-23,NTRS,sell,120.81,112.836,108.8735,101.7369,77.27,40.07,15633152,6.28,80.3,76.01,88.88
2025-06-23,TRUP,sell,56.445,54.627,50.3165,44.3568,76.52,27.72,348088,-0.34,93.83,91.34,98.81
2025-06-23,FLEX,sell,46.35,45.548,43.497,39.1635,76.08,37.44,2758556,-0.47,85.46,84.29,87.8
2025-06-23,FWONK,sell,104.28,101.294,98.142,93.0202,75.9,42.47,1343411,0.0,84.34,71.59,109.84
2025-06-23,BPMC,sell,128.4,128.24,121.0885,104.2477,75.84,42.77,3407460,-0.18,94.56,96.22,91.24
2025-06-23,CRMD,sell,16.56,14.406,13.5905,11.3956,75.2,39.57,7091502,4.61,66.39,67.63,63.91
2025-06-23,SITM,sell,232.34,225.586,209.9755,183.5034,74.96,30.48,208896,-0.22,90.19,82.54,105.49
2025-06-23,CTLP,sell,10.99,10.988,9.448,8.5644,74.71,39.68,3658279,-0.61,96.76,92.62,105.04
2025-06-23,TTMI,sell,36.95,36.82,33.6183,27.6514,74.63,55.8,1572387,-0.04,87.94,88.24,87.34
2025-06-23,MOMO,sell,8.4,8.426,7.332,6.439,74.49,49.64,1177415,-0.45,91.45,92.13,90.09
2025-06-23,CRDO,sell,84.57,82.91,72.178,57.6154,74.48,39.98,7332518,0.04,88.36,82.56,99.96
2025-06-23,BSY,sell,51.83,50.74,48.9175,46.4976,74.29,36.32,1862134,-0.24,90.44,82.29,106.74
2025-06-23,CWCO,sell,30.03,29.214,27.9402,25.7521,74.11,48.58,278451,0.01,89.49,86.48,95.51
2025-06-23,MSFT,sell,486.0,480.164,469.254,437.0274,74.1,46.28,24863115,0.15,89.24,89.34,89.04
2025-06-23,WWD,sell,241.67,238.012,229.2752,205.1069,73.57,41.18,420373,-0.28,92.02,89.94,96.18
2025-06-23,MTSI,sell,138.65,134.371,128.1428,117.3323,73.52,35.82,734375,-0.12,90.85,86.48,99.59
2025-06-23,GOGO,sell,14.08,13.544,11.7845,10.0764,73.46,37.6,2062135,-0.37,80.48,76.74,87.96
2025-06-23,GSAT,sell,23.79,23.564,20.855,19.8964,73.11,34.74,517878,-0.15,89.47,90.26,87.89
2025-06-23,DHC,sell,3.68,3.662,3.3795,2.8948,73.07,47.55,733754,-0.35,80.23,83.59,73.51
2025-06-23,STRL,sell,222.5,219.07,201.258,177.4614,72.93,35.5,666557,-0.26,77.18,80.44,70.66
2025-06-23,CLFD,sell,41.68,39.586,38.8062,34.5031,72.77,30.2,122009,0.18,83.6,74.02,102.76
2025-06-23,SEZL,sell,144.98,145.07,126.5135,88.6073,72.56,47.88,1038232,0.08,86.08,86.93,84.38
2025-06-23,TMC,sell,6.56,6.18,4.8225,3.8106,72.55,53.35,8765956,-0.67,74.39,68.44,86.29
2025-06-23,MYRG,sell,173.33,168.352,163.425,148.7453,72.55,21.29,134834,-0.48,84.97,78.26,98.39
2025-06-23,ABCL,sell,3.33,3.298,2.6665,2.4286,72.53,44.36,5319841,-0.34,84.34,82.5,88.02
2025-06-23,WLDN,sell,58.41,58.031,55.9138,47.5122,72.52,54.35,123944,-0.25,82.64,83.44,81.04
2025-06-23,AEVA,sell,27.32,26.326,21.4135,14.5549,72.37,63.52,2796150,-0.01,88.89,90.39,85.89
2025-06-23,SNDK,sell,46.95,45.69,41.014,37.4411,71.77,25.49,1791589,-0.49,87.7,84.58,93.94
2025-06-23,DH,sell,3.97,3.822,3.5645,3.1614,71.76,42.24,991441,0.12,83.47,79.98,90.45
2025-06-23,LITE,sell,89.16,87.881,81.521,70.7188,71.59,38.84,1537359,-0.3,89.52,86.53,95.5
2025-06-23,CASY,sell,510.43,506.206,470.4435,460.2138,71.57,27.18,308401,-0.32,90.36,85.15,100.78
2025-06-23,IRTC,sell,150.95,146.396,144.962,130.4718,71.53,29.55,472411,0.3,74.75,67.93,88.39
2025-06-23,CRSP,sell,45.55,43.8,40.3192,38.6177,71.5,24.06,2234188,-0.38,77.14,72.2,87.02
2025-06-23,SAIL,sell,23.52,23.084,20.009,18.6514,71.39,32.87,1794547,-0.26,86.79,84.35,91.67
2025-06-23,DASH,sell,230.32,222.496,215.5085,200.1784,71.24,15.43,5159584,0.09,88.29,86.32,92.23
2025-06-23,ORIC,sell,10.0,9.394,8.697,6.591,71.17,37.15,816572,-0.21,80.24,79.73,81.26
2025-06-23,PLAY,sell,31.66,32.35,26.3882,22.5178,71.11,46.07,1193403,-0.19,93.11,93.24,92.85
2025-06-23,BBIO,sell,42.175,41.023,37.8498,36.1248,71.06,33.27,2589689,-0.32,93.78,90.75,99.84
